year,Benigno
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,0
1916,6
1917,8
1918,6
1919,6
1920,8
1921,9
1922,10
1923,14
1924,9
1925,14
1926,15
1927,13
1928,21
1929,11
1930,9
1931,11
1932,12
1933,8
1934,13
1935,8
1936,9
1937,15
1938,14
1939,16
1940,7
1941,6
1942,10
1943,13
1944,8
1945,0
1946,12
1947,12
1948,14
1949,15
1950,18
1951,12
1952,8
1953,11
1954,16
1955,12
1956,21
1957,20
1958,21
1959,8
1960,23
1961,8
1962,15
1963,22
1964,18
1965,12
1966,22
1967,13
1968,17
1969,23
1970,16
1971,13
1972,28
1973,23
1974,18
1975,26
1976,12
1977,20
1978,22
1979,21
1980,30
1981,21
1982,25
1983,19
1984,24
1985,18
1986,22
1987,21
1988,18
1989,17
1990,34
1991,18
1992,31
1993,18
1994,21
1995,27
1996,24
1997,21
1998,19
1999,15
2000,18
2001,18
2002,21
2003,19
2004,19
2005,9
2006,15
2007,18
2008,8
2009,12
2010,11
2011,12
2012,10
