year,Buford (F),Buford (M)
1880,0.000000,0.000055
1881,0.000000,0.000047
1882,0.000000,0.000000
1883,0.000000,0.000046
1884,0.000000,0.000041
1885,0.000000,0.000000
1886,0.000000,0.000027
1887,0.000000,0.000036
1888,0.000000,0.000043
1889,0.000000,0.000000
1890,0.000000,0.000043
1891,0.000000,0.000042
1892,0.000000,0.000042
1893,0.000000,0.000037
1894,0.000000,0.000050
1895,0.000000,0.000057
1896,0.000000,0.000048
1897,0.000000,0.000043
1898,0.000000,0.000047
1899,0.000000,0.000053
1900,0.000000,0.000051
1901,0.000000,0.000049
1902,0.000000,0.000036
1903,0.000000,0.000063
1904,0.000000,0.000062
1905,0.000000,0.000087
1906,0.000000,0.000068
1907,0.000000,0.000054
1908,0.000010,0.000096
1909,0.000000,0.000070
1910,0.000010,0.000107
1911,0.000000,0.000082
1912,0.000008,0.000109
1913,0.000005,0.000120
1914,0.000000,0.000117
1915,0.000003,0.000114
1916,0.000003,0.000126
1917,0.000002,0.000124
1918,0.000003,0.000116
1919,0.000003,0.000122
1920,0.000002,0.000123
1921,0.000000,0.000143
1922,0.000003,0.000132
1923,0.000003,0.000122
1924,0.000000,0.000128
1925,0.000000,0.000121
1926,0.000004,0.000115
1927,0.000002,0.000104
1928,0.000003,0.000107
1929,0.000000,0.000105
1930,0.000000,0.000108
1931,0.000000,0.000095
1932,0.000000,0.000108
1933,0.000000,0.000085
1934,0.000000,0.000101
1935,0.000000,0.000083
1936,0.000003,0.000078
1937,0.000000,0.000091
1938,0.000000,0.000088
1939,0.000000,0.000074
1940,0.000002,0.000081
1941,0.000000,0.000075
1942,0.000000,0.000067
1943,0.000000,0.000071
1944,0.000000,0.000064
1945,0.000000,0.000049
1946,0.000000,0.000045
1947,0.000000,0.000046
1948,0.000000,0.000041
1949,0.000000,0.000042
1950,0.000000,0.000037
1951,0.000000,0.000029
1952,0.000001,0.000029
1953,0.000000,0.000028
1954,0.000000,0.000025
1955,0.000000,0.000023
1956,0.000000,0.000026
1957,0.000000,0.000019
1958,0.000000,0.000016
1959,0.000000,0.000016
1960,0.000000,0.000017
1961,0.000000,0.000019
1962,0.000000,0.000016
1963,0.000000,0.000014
1964,0.000000,0.000016
1965,0.000000,0.000018
1966,0.000000,0.000012
1967,0.000000,0.000013
1968,0.000000,0.000014
1969,0.000000,0.000016
1970,0.000000,0.000015
1971,0.000000,0.000013
1972,0.000000,0.000008
1973,0.000000,0.000010
1974,0.000000,0.000012
1975,0.000000,0.000015
1976,0.000000,0.000011
1977,0.000000,0.000011
1978,0.000000,0.000010
1979,0.000000,0.000012
1980,0.000000,0.000009
1981,0.000000,0.000005
1982,0.000000,0.000009
1983,0.000000,0.000005
1984,0.000000,0.000004
1985,0.000000,0.000007
1986,0.000000,0.000006
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000003
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000002
1993,0.000000,0.000003
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000000
2005,0.000000,0.000003
2006,0.000000,0.000002
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000001
