year,Bonnita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,7
1936,6
1937,10
1938,8
1939,13
1940,7
1941,12
1942,18
1943,19
1944,26
1945,12
1946,30
1947,25
1948,29
1949,31
1950,19
1951,30
1952,19
1953,25
1954,26
1955,15
1956,21
1957,12
1958,10
1959,16
1960,18
1961,18
1962,19
1963,22
1964,19
1965,9
1966,11
1967,9
1968,13
1969,16
1970,10
1971,12
1972,5
1973,10
1974,7
1975,6
1976,7
1977,7
1978,8
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
