year,Berta
1880,24
1881,14
1882,26
1883,21
1884,28
1885,35
1886,30
1887,24
1888,38
1889,46
1890,37
1891,37
1892,33
1893,28
1894,32
1895,37
1896,33
1897,52
1898,33
1899,49
1900,55
1901,52
1902,46
1903,53
1904,43
1905,35
1906,43
1907,53
1908,38
1909,38
1910,48
1911,47
1912,63
1913,75
1914,75
1915,84
1916,79
1917,89
1918,108
1919,86
1920,106
1921,122
1922,112
1923,98
1924,110
1925,127
1926,132
1927,130
1928,123
1929,112
1930,118
1931,112
1932,127
1933,120
1934,93
1935,109
1936,102
1937,110
1938,87
1939,90
1940,95
1941,101
1942,91
1943,93
1944,64
1945,65
1946,96
1947,84
1948,88
1949,74
1950,79
1951,69
1952,74
1953,72
1954,81
1955,77
1956,76
1957,84
1958,66
1959,65
1960,63
1961,58
1962,71
1963,53
1964,45
1965,43
1966,42
1967,47
1968,48
1969,54
1970,43
1971,42
1972,37
1973,34
1974,37
1975,30
1976,47
1977,49
1978,26
1979,33
1980,28
1981,31
1982,34
1983,24
1984,25
1985,24
1986,25
1987,23
1988,32
1989,24
1990,28
1991,23
1992,21
1993,17
1994,20
1995,15
1996,16
1997,22
1998,16
1999,10
2000,9
2001,16
2002,5
2003,14
2004,16
2005,12
2006,13
2007,13
2008,8
2009,6
2010,8
2011,7
2012,12
