year,Bea
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,5
1887,0
1888,6
1889,5
1890,0
1891,0
1892,5
1893,6
1894,7
1895,0
1896,9
1897,6
1898,5
1899,0
1900,6
1901,5
1902,8
1903,9
1904,7
1905,13
1906,13
1907,15
1908,22
1909,19
1910,20
1911,11
1912,17
1913,25
1914,28
1915,24
1916,21
1917,27
1918,30
1919,21
1920,20
1921,31
1922,18
1923,36
1924,20
1925,22
1926,23
1927,25
1928,11
1929,22
1930,26
1931,18
1932,15
1933,23
1934,14
1935,22
1936,28
1937,19
1938,38
1939,13
1940,26
1941,34
1942,31
1943,40
1944,20
1945,28
1946,27
1947,17
1948,28
1949,11
1950,16
1951,13
1952,10
1953,11
1954,9
1955,9
1956,20
1957,27
1958,26
1959,28
1960,32
1961,30
1962,30
1963,23
1964,18
1965,8
1966,10
1967,6
1968,0
1969,5
1970,5
1971,0
1972,6
1973,0
1974,5
1975,0
1976,0
1977,11
1978,0
1979,0
1980,6
1981,0
1982,0
1983,8
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,8
1999,0
2000,5
2001,10
2002,0
2003,8
2004,7
2005,12
2006,18
2007,12
2008,20
2009,23
2010,18
2011,15
2012,22
