year,Bonifacio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,7
1913,0
1914,7
1915,16
1916,8
1917,16
1918,11
1919,15
1920,13
1921,13
1922,18
1923,25
1924,22
1925,26
1926,23
1927,16
1928,22
1929,29
1930,35
1931,13
1932,14
1933,19
1934,25
1935,11
1936,13
1937,21
1938,17
1939,16
1940,21
1941,9
1942,17
1943,18
1944,14
1945,16
1946,16
1947,16
1948,23
1949,17
1950,27
1951,12
1952,18
1953,17
1954,18
1955,13
1956,16
1957,12
1958,13
1959,17
1960,15
1961,11
1962,12
1963,17
1964,15
1965,8
1966,13
1967,11
1968,6
1969,17
1970,10
1971,23
1972,16
1973,14
1974,19
1975,15
1976,18
1977,23
1978,11
1979,15
1980,13
1981,12
1982,10
1983,16
1984,12
1985,16
1986,11
1987,10
1988,17
1989,14
1990,11
1991,17
1992,16
1993,18
1994,11
1995,12
1996,15
1997,20
1998,10
1999,18
2000,11
2001,8
2002,16
2003,5
2004,6
2005,11
2006,7
2007,8
2008,9
2009,12
2010,14
2011,7
2012,7
