year,Belynda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,11
1950,11
1951,13
1952,10
1953,6
1954,12
1955,16
1956,10
1957,14
1958,24
1959,25
1960,30
1961,23
1962,31
1963,33
1964,39
1965,24
1966,18
1967,16
1968,15
1969,19
1970,31
1971,26
1972,27
1973,25
1974,11
1975,8
1976,14
1977,21
1978,16
1979,13
1980,15
1981,12
1982,9
1983,7
1984,10
1985,17
1986,0
1987,7
1988,10
1989,12
1990,9
1991,6
1992,14
1993,6
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,5
2006,6
2007,6
2008,0
2009,6
2010,0
2011,0
2012,0
