year,Belva
1880,0
1881,6
1882,5
1883,5
1884,66
1885,30
1886,23
1887,27
1888,66
1889,31
1890,42
1891,23
1892,27
1893,24
1894,33
1895,36
1896,34
1897,28
1898,35
1899,37
1900,61
1901,41
1902,52
1903,37
1904,38
1905,59
1906,44
1907,69
1908,55
1909,49
1910,72
1911,61
1912,106
1913,97
1914,130
1915,139
1916,170
1917,156
1918,170
1919,165
1920,164
1921,178
1922,161
1923,172
1924,161
1925,147
1926,170
1927,185
1928,164
1929,147
1930,170
1931,162
1932,160
1933,161
1934,151
1935,145
1936,149
1937,162
1938,162
1939,153
1940,128
1941,159
1942,144
1943,107
1944,90
1945,121
1946,117
1947,99
1948,88
1949,92
1950,97
1951,78
1952,95
1953,97
1954,65
1955,84
1956,64
1957,72
1958,51
1959,63
1960,51
1961,46
1962,37
1963,42
1964,30
1965,23
1966,21
1967,17
1968,24
1969,16
1970,16
1971,13
1972,14
1973,10
1974,10
1975,10
1976,10
1977,11
1978,8
1979,11
1980,12
1981,5
1982,5
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
