year,Bess
1880,46
1881,52
1882,76
1883,94
1884,105
1885,97
1886,128
1887,155
1888,164
1889,182
1890,154
1891,137
1892,177
1893,169
1894,182
1895,150
1896,151
1897,137
1898,151
1899,123
1900,134
1901,107
1902,104
1903,112
1904,96
1905,87
1906,101
1907,103
1908,91
1909,95
1910,88
1911,93
1912,125
1913,119
1914,93
1915,122
1916,131
1917,103
1918,103
1919,99
1920,82
1921,84
1922,74
1923,81
1924,81
1925,64
1926,55
1927,58
1928,33
1929,33
1930,36
1931,27
1932,29
1933,28
1934,26
1935,17
1936,20
1937,18
1938,23
1939,27
1940,29
1941,31
1942,32
1943,32
1944,25
1945,21
1946,24
1947,21
1948,35
1949,20
1950,15
1951,16
1952,30
1953,23
1954,34
1955,23
1956,28
1957,28
1958,34
1959,26
1960,26
1961,33
1962,34
1963,26
1964,19
1965,19
1966,19
1967,15
1968,8
1969,20
1970,19
1971,18
1972,15
1973,20
1974,14
1975,11
1976,21
1977,26
1978,33
1979,25
1980,28
1981,38
1982,29
1983,27
1984,38
1985,27
1986,29
1987,29
1988,28
1989,20
1990,16
1991,12
1992,16
1993,14
1994,11
1995,11
1996,14
1997,14
1998,8
1999,11
2000,9
2001,10
2002,14
2003,12
2004,5
2005,18
2006,6
2007,8
2008,7
2009,8
2010,7
2011,7
2012,6
