year,Beryl (F),Beryl (M)
1880,0.000055,0.000000
1881,0.000042,0.000000
1882,0.000050,0.000000
1883,0.000037,0.000000
1884,0.000058,0.000000
1885,0.000050,0.000000
1886,0.000063,0.000000
1887,0.000109,0.000000
1888,0.000063,0.000000
1889,0.000128,0.000000
1890,0.000106,0.000017
1891,0.000126,0.000000
1892,0.000111,0.000018
1893,0.000101,0.000018
1894,0.000086,0.000015
1895,0.000114,0.000000
1896,0.000126,0.000000
1897,0.000107,0.000000
1898,0.000121,0.000013
1899,0.000115,0.000000
1900,0.000131,0.000000
1901,0.000171,0.000000
1902,0.000153,0.000021
1903,0.000150,0.000000
1904,0.000181,0.000017
1905,0.000184,0.000021
1906,0.000163,0.000028
1907,0.000159,0.000015
1908,0.000180,0.000018
1909,0.000137,0.000014
1910,0.000154,0.000014
1911,0.000146,0.000022
1912,0.000151,0.000049
1913,0.000131,0.000022
1914,0.000127,0.000029
1915,0.000115,0.000041
1916,0.000110,0.000030
1917,0.000108,0.000030
1918,0.000123,0.000032
1919,0.000111,0.000037
1920,0.000137,0.000030
1921,0.000102,0.000027
1922,0.000102,0.000027
1923,0.000094,0.000030
1924,0.000092,0.000032
1925,0.000086,0.000024
1926,0.000099,0.000021
1927,0.000096,0.000030
1928,0.000092,0.000023
1929,0.000082,0.000026
1930,0.000089,0.000024
1931,0.000109,0.000032
1932,0.000094,0.000030
1933,0.000081,0.000034
1934,0.000070,0.000028
1935,0.000056,0.000020
1936,0.000066,0.000018
1937,0.000060,0.000019
1938,0.000055,0.000015
1939,0.000055,0.000015
1940,0.000056,0.000014
1941,0.000043,0.000018
1942,0.000042,0.000011
1943,0.000041,0.000012
1944,0.000042,0.000017
1945,0.000038,0.000012
1946,0.000033,0.000009
1947,0.000043,0.000007
1948,0.000049,0.000010
1949,0.000042,0.000009
1950,0.000041,0.000008
1951,0.000041,0.000006
1952,0.000031,0.000004
1953,0.000028,0.000006
1954,0.000027,0.000002
1955,0.000028,0.000003
1956,0.000026,0.000003
1957,0.000030,0.000003
1958,0.000018,0.000004
1959,0.000020,0.000004
1960,0.000015,0.000003
1961,0.000014,0.000004
1962,0.000013,0.000004
1963,0.000014,0.000003
1964,0.000016,0.000003
1965,0.000009,0.000002
1966,0.000008,0.000003
1967,0.000008,0.000004
1968,0.000005,0.000003
1969,0.000004,0.000003
1970,0.000003,0.000001
1971,0.000003,0.000002
1972,0.000005,0.000000
1973,0.000004,0.000002
1974,0.000004,0.000000
1975,0.000003,0.000000
1976,0.000004,0.000000
1977,0.000003,0.000000
1978,0.000003,0.000000
1979,0.000002,0.000002
1980,0.000002,0.000000
1981,0.000004,0.000002
1982,0.000004,0.000000
1983,0.000002,0.000001
1984,0.000004,0.000000
1985,0.000002,0.000000
1986,0.000003,0.000000
1987,0.000005,0.000000
1988,0.000000,0.000000
1989,0.000004,0.000001
1990,0.000003,0.000000
1991,0.000003,0.000000
1992,0.000003,0.000000
1993,0.000002,0.000000
1994,0.000003,0.000000
1995,0.000003,0.000000
1996,0.000002,0.000000
1997,0.000002,0.000000
1998,0.000000,0.000000
1999,0.000002,0.000000
2000,0.000003,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000002,0.000000
2004,0.000002,0.000000
2005,0.000002,0.000000
2006,0.000000,0.000000
2007,0.000002,0.000000
2008,0.000001,0.000000
2009,0.000000,0.000000
2010,0.000003,0.000000
2011,0.000000,0.000000
2012,0.000003,0.000000
2013,0.000003,0.000000
2014,0.000004,0.000000
2015,0.000002,0.000000
2016,0.000002,0.000000
2017,0.000004,0.000000
2018,0.000003,0.000000
2019,0.000002,0.000000
2020,0.000003,0.000000
