year,Bernardine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,10
1891,0
1892,7
1893,0
1894,10
1895,11
1896,9
1897,7
1898,9
1899,11
1900,8
1901,5
1902,8
1903,16
1904,8
1905,15
1906,12
1907,18
1908,19
1909,19
1910,23
1911,22
1912,23
1913,33
1914,42
1915,53
1916,72
1917,64
1918,81
1919,62
1920,54
1921,77
1922,61
1923,60
1924,74
1925,85
1926,78
1927,81
1928,71
1929,71
1930,77
1931,75
1932,72
1933,66
1934,59
1935,56
1936,52
1937,61
1938,50
1939,54
1940,65
1941,48
1942,61
1943,50
1944,68
1945,36
1946,59
1947,50
1948,58
1949,48
1950,37
1951,24
1952,32
1953,29
1954,23
1955,27
1956,15
1957,69
1958,46
1959,31
1960,36
1961,12
1962,27
1963,21
1964,17
1965,19
1966,22
1967,14
1968,7
1969,12
1970,8
1971,8
1972,6
1973,7
1974,0
1975,7
1976,8
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
