year,Bud (F),Bud (M)
1880,0.000000,0.000184
1881,0.000000,0.000197
1882,0.000000,0.000149
1883,0.000000,0.000194
1884,0.000000,0.000173
1885,0.000000,0.000183
1886,0.000000,0.000129
1887,0.000000,0.000146
1888,0.000000,0.000160
1889,0.000000,0.000166
1890,0.000000,0.000156
1891,0.000000,0.000101
1892,0.000000,0.000117
1893,0.000000,0.000114
1894,0.000000,0.000103
1895,0.000000,0.000094
1896,0.000000,0.000098
1897,0.000000,0.000124
1898,0.000000,0.000094
1899,0.000000,0.000074
1900,0.000000,0.000089
1901,0.000000,0.000087
1902,0.000000,0.000062
1903,0.000000,0.000084
1904,0.000000,0.000089
1905,0.000000,0.000078
1906,0.000000,0.000091
1907,0.000000,0.000067
1908,0.000000,0.000082
1909,0.000000,0.000068
1910,0.000000,0.000088
1911,0.000000,0.000096
1912,0.000000,0.000091
1913,0.000000,0.000078
1914,0.000000,0.000069
1915,0.000000,0.000071
1916,0.000000,0.000079
1917,0.000000,0.000088
1918,0.000000,0.000084
1919,0.000000,0.000080
1920,0.000000,0.000083
1921,0.000000,0.000081
1922,0.000000,0.000078
1923,0.000000,0.000082
1924,0.000000,0.000073
1925,0.000000,0.000075
1926,0.000000,0.000081
1927,0.000000,0.000088
1928,0.000000,0.000095
1929,0.000000,0.000082
1930,0.000000,0.000080
1931,0.000000,0.000099
1932,0.000000,0.000073
1933,0.000000,0.000083
1934,0.000000,0.000078
1935,0.000000,0.000073
1936,0.000000,0.000075
1937,0.000000,0.000061
1938,0.000000,0.000050
1939,0.000000,0.000044
1940,0.000000,0.000042
1941,0.000000,0.000034
1942,0.000000,0.000040
1943,0.000000,0.000031
1944,0.000000,0.000036
1945,0.000000,0.000031
1946,0.000000,0.000033
1947,0.000000,0.000029
1948,0.000000,0.000029
1949,0.000000,0.000036
1950,0.000000,0.000034
1951,0.000000,0.000025
1952,0.000000,0.000026
1953,0.000000,0.000026
1954,0.000000,0.000021
1955,0.000000,0.000030
1956,0.000000,0.000023
1957,0.000000,0.000031
1958,0.000000,0.000027
1959,0.000000,0.000034
1960,0.000000,0.000029
1961,0.000000,0.000023
1962,0.000000,0.000018
1963,0.000000,0.000018
1964,0.000000,0.000016
1965,0.000000,0.000020
1966,0.000000,0.000014
1967,0.000000,0.000013
1968,0.000000,0.000015
1969,0.000000,0.000012
1970,0.000000,0.000011
1971,0.000000,0.000012
1972,0.000000,0.000012
1973,0.000000,0.000010
1974,0.000000,0.000011
1975,0.000000,0.000012
1976,0.000000,0.000009
1977,0.000000,0.000009
1978,0.000000,0.000010
1979,0.000000,0.000010
1980,0.000000,0.000012
1981,0.000000,0.000012
1982,0.000000,0.000011
1983,0.000000,0.000013
1984,0.000000,0.000006
1985,0.000000,0.000010
1986,0.000000,0.000009
1987,0.000000,0.000009
1988,0.000000,0.000009
1989,0.000000,0.000009
1990,0.000000,0.000007
1991,0.000000,0.000005
1992,0.000000,0.000003
1993,0.000000,0.000006
1994,0.000000,0.000003
1995,0.000000,0.000003
1996,0.000000,0.000004
1997,0.000000,0.000003
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000003
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000002
2014,0.000000,0.000003
2015,0.000000,0.000002
2016,0.000000,0.000003
2017,0.000000,0.000003
2018,0.000000,0.000004
2019,0.000000,0.000000
2020,0.000000,0.000002
