year,Braulio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,5
1918,5
1919,0
1920,0
1921,7
1922,0
1923,8
1924,8
1925,0
1926,9
1927,8
1928,15
1929,13
1930,11
1931,9
1932,5
1933,7
1934,0
1935,0
1936,5
1937,5
1938,9
1939,8
1940,9
1941,11
1942,7
1943,9
1944,5
1945,13
1946,0
1947,7
1948,7
1949,10
1950,11
1951,9
1952,9
1953,5
1954,11
1955,10
1956,6
1957,8
1958,10
1959,6
1960,6
1961,8
1962,10
1963,6
1964,9
1965,12
1966,10
1967,13
1968,12
1969,12
1970,17
1971,18
1972,25
1973,23
1974,30
1975,22
1976,41
1977,34
1978,31
1979,35
1980,36
1981,32
1982,26
1983,35
1984,31
1985,32
1986,32
1987,53
1988,69
1989,93
1990,73
1991,100
1992,89
1993,88
1994,97
1995,114
1996,112
1997,82
1998,128
1999,112
2000,136
2001,132
2002,151
2003,123
2004,208
2005,248
2006,193
2007,170
2008,134
2009,123
2010,130
2011,111
2012,108
