year,Biagio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,7
1912,8
1913,11
1914,24
1915,20
1916,16
1917,24
1918,23
1919,19
1920,23
1921,30
1922,33
1923,30
1924,19
1925,22
1926,15
1927,28
1928,20
1929,13
1930,13
1931,14
1932,12
1933,12
1934,7
1935,7
1936,9
1937,9
1938,9
1939,8
1940,8
1941,8
1942,11
1943,0
1944,5
1945,6
1946,5
1947,6
1948,0
1949,0
1950,5
1951,8
1952,11
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,0
1960,10
1961,0
1962,8
1963,11
1964,9
1965,11
1966,6
1967,7
1968,11
1969,8
1970,7
1971,6
1972,7
1973,6
1974,8
1975,7
1976,9
1977,6
1978,11
1979,8
1980,10
1981,7
1982,7
1983,9
1984,7
1985,6
1986,5
1987,6
1988,7
1989,0
1990,7
1991,8
1992,8
1993,9
1994,6
1995,9
1996,9
1997,10
1998,9
1999,8
2000,8
2001,10
2002,13
2003,6
2004,12
2005,6
2006,8
2007,9
2008,6
2009,9
2010,8
2011,5
2012,8
