year,Broderick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,30
1951,25
1952,25
1953,29
1954,24
1955,34
1956,121
1957,100
1958,105
1959,101
1960,72
1961,66
1962,61
1963,55
1964,54
1965,56
1966,48
1967,56
1968,50
1969,82
1970,83
1971,96
1972,99
1973,74
1974,88
1975,92
1976,93
1977,129
1978,113
1979,135
1980,122
1981,113
1982,100
1983,113
1984,129
1985,121
1986,122
1987,132
1988,136
1989,137
1990,134
1991,141
1992,136
1993,143
1994,142
1995,185
1996,175
1997,148
1998,142
1999,144
2000,129
2001,139
2002,145
2003,175
2004,169
2005,196
2006,223
2007,229
2008,231
2009,253
2010,205
2011,203
2012,229
