year,Blossom
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,5
1891,5
1892,7
1893,0
1894,10
1895,12
1896,11
1897,6
1898,7
1899,6
1900,9
1901,8
1902,6
1903,13
1904,10
1905,9
1906,15
1907,11
1908,9
1909,23
1910,20
1911,9
1912,21
1913,25
1914,27
1915,37
1916,24
1917,40
1918,52
1919,37
1920,62
1921,77
1922,84
1923,83
1924,82
1925,101
1926,85
1927,62
1928,55
1929,52
1930,47
1931,51
1932,31
1933,35
1934,22
1935,32
1936,7
1937,26
1938,20
1939,15
1940,12
1941,13
1942,11
1943,16
1944,9
1945,16
1946,12
1947,14
1948,11
1949,19
1950,12
1951,13
1952,16
1953,15
1954,11
1955,16
1956,11
1957,14
1958,14
1959,10
1960,11
1961,8
1962,9
1963,11
1964,5
1965,7
1966,7
1967,7
1968,8
1969,14
1970,14
1971,6
1972,17
1973,13
1974,15
1975,23
1976,18
1977,22
1978,13
1979,6
1980,9
1981,10
1982,15
1983,17
1984,15
1985,10
1986,8
1987,6
1988,8
1989,7
1990,10
1991,24
1992,24
1993,21
1994,18
1995,26
1996,10
1997,16
1998,8
1999,14
2000,15
2001,18
2002,15
2003,15
2004,15
2005,23
2006,15
2007,20
2008,18
2009,10
2010,24
2011,17
2012,36
