year,Brita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,6
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,6
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,5
1947,6
1948,10
1949,7
1950,7
1951,7
1952,7
1953,7
1954,6
1955,7
1956,5
1957,5
1958,10
1959,12
1960,16
1961,10
1962,26
1963,13
1964,16
1965,12
1966,16
1967,18
1968,15
1969,14
1970,14
1971,25
1972,16
1973,19
1974,16
1975,22
1976,17
1977,28
1978,25
1979,25
1980,31
1981,41
1982,25
1983,21
1984,21
1985,19
1986,27
1987,28
1988,23
1989,26
1990,40
1991,25
1992,18
1993,20
1994,27
1995,19
1996,21
1997,13
1998,14
1999,9
2000,13
2001,11
2002,13
2003,5
2004,5
2005,10
2006,10
2007,7
2008,6
2009,0
2010,9
2011,0
2012,7
