year,Baltazar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,7
1917,7
1918,8
1919,6
1920,12
1921,11
1922,14
1923,8
1924,6
1925,11
1926,5
1927,6
1928,16
1929,10
1930,15
1931,15
1932,20
1933,7
1934,11
1935,16
1936,17
1937,9
1938,8
1939,9
1940,9
1941,8
1942,12
1943,19
1944,8
1945,12
1946,0
1947,20
1948,23
1949,18
1950,16
1951,14
1952,19
1953,13
1954,13
1955,13
1956,14
1957,17
1958,18
1959,17
1960,16
1961,12
1962,18
1963,23
1964,15
1965,14
1966,18
1967,15
1968,14
1969,13
1970,22
1971,21
1972,22
1973,26
1974,20
1975,24
1976,24
1977,22
1978,18
1979,26
1980,31
1981,23
1982,30
1983,24
1984,30
1985,25
1986,31
1987,33
1988,42
1989,42
1990,50
1991,44
1992,43
1993,43
1994,50
1995,41
1996,48
1997,43
1998,56
1999,54
2000,51
2001,59
2002,46
2003,58
2004,47
2005,39
2006,52
2007,47
2008,58
2009,40
2010,39
2011,33
2012,34
