year,Bernie (F),Bernie (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000050
1883,0.000000,0.000032
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000031
1887,0.000000,0.000024
1888,0.000000,0.000043
1889,0.000000,0.000038
1890,0.000020,0.000043
1891,0.000017,0.000028
1892,0.000018,0.000039
1893,0.000000,0.000031
1894,0.000000,0.000038
1895,0.000000,0.000040
1896,0.000000,0.000014
1897,0.000023,0.000023
1898,0.000000,0.000013
1899,0.000000,0.000029
1900,0.000024,0.000042
1901,0.000014,0.000035
1902,0.000000,0.000044
1903,0.000018,0.000024
1904,0.000000,0.000032
1905,0.000021,0.000042
1906,0.000012,0.000028
1907,0.000013,0.000045
1908,0.000033,0.000039
1909,0.000016,0.000027
1910,0.000017,0.000037
1911,0.000017,0.000042
1912,0.000019,0.000033
1913,0.000019,0.000038
1914,0.000017,0.000037
1915,0.000013,0.000041
1916,0.000010,0.000045
1917,0.000008,0.000039
1918,0.000015,0.000034
1919,0.000009,0.000047
1920,0.000009,0.000040
1921,0.000011,0.000038
1922,0.000011,0.000040
1923,0.000013,0.000043
1924,0.000012,0.000037
1925,0.000014,0.000043
1926,0.000014,0.000046
1927,0.000010,0.000038
1928,0.000012,0.000049
1929,0.000009,0.000041
1930,0.000009,0.000045
1931,0.000011,0.000054
1932,0.000017,0.000062
1933,0.000010,0.000064
1934,0.000013,0.000067
1935,0.000016,0.000065
1936,0.000007,0.000061
1937,0.000013,0.000068
1938,0.000012,0.000066
1939,0.000009,0.000054
1940,0.000010,0.000050
1941,0.000007,0.000060
1942,0.000008,0.000049
1943,0.000005,0.000050
1944,0.000009,0.000051
1945,0.000011,0.000048
1946,0.000011,0.000044
1947,0.000007,0.000049
1948,0.000005,0.000045
1949,0.000006,0.000038
1950,0.000006,0.000036
1951,0.000008,0.000033
1952,0.000005,0.000033
1953,0.000008,0.000034
1954,0.000009,0.000037
1955,0.000006,0.000034
1956,0.000006,0.000037
1957,0.000012,0.000041
1958,0.000008,0.000051
1959,0.000009,0.000044
1960,0.000008,0.000055
1961,0.000007,0.000052
1962,0.000007,0.000051
1963,0.000005,0.000040
1964,0.000003,0.000043
1965,0.000003,0.000033
1966,0.000004,0.000028
1967,0.000003,0.000029
1968,0.000003,0.000025
1969,0.000002,0.000026
1970,0.000000,0.000024
1971,0.000003,0.000022
1972,0.000002,0.000027
1973,0.000002,0.000024
1974,0.000000,0.000019
1975,0.000003,0.000020
1976,0.000000,0.000017
1977,0.000000,0.000022
1978,0.000000,0.000017
1979,0.000000,0.000016
1980,0.000000,0.000013
1981,0.000000,0.000011
1982,0.000000,0.000008
1983,0.000000,0.000009
1984,0.000000,0.000010
1985,0.000000,0.000012
1986,0.000000,0.000009
1987,0.000000,0.000007
1988,0.000000,0.000007
1989,0.000000,0.000009
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000009
1993,0.000000,0.000007
1994,0.000000,0.000008
1995,0.000000,0.000006
1996,0.000000,0.000006
1997,0.000000,0.000007
1998,0.000000,0.000007
1999,0.000000,0.000006
2000,0.000000,0.000006
2001,0.000000,0.000005
2002,0.000000,0.000006
2003,0.000000,0.000008
2004,0.000000,0.000007
2005,0.000000,0.000008
2006,0.000000,0.000006
2007,0.000000,0.000003
2008,0.000000,0.000005
2009,0.000000,0.000005
2010,0.000000,0.000005
2011,0.000000,0.000003
2012,0.000000,0.000002
2013,0.000000,0.000003
2014,0.000000,0.000002
2015,0.000000,0.000003
2016,0.000000,0.000006
2017,0.000000,0.000003
2018,0.000000,0.000003
2019,0.000000,0.000002
2020,0.000000,0.000005
