year,Blas
1880,6
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,12
1912,0
1913,13
1914,9
1915,19
1916,15
1917,9
1918,13
1919,13
1920,27
1921,21
1922,17
1923,26
1924,17
1925,26
1926,22
1927,29
1928,23
1929,20
1930,23
1931,29
1932,21
1933,30
1934,22
1935,22
1936,16
1937,18
1938,29
1939,28
1940,26
1941,24
1942,26
1943,26
1944,20
1945,21
1946,35
1947,25
1948,22
1949,24
1950,31
1951,38
1952,23
1953,15
1954,23
1955,26
1956,29
1957,17
1958,17
1959,28
1960,34
1961,22
1962,27
1963,22
1964,24
1965,19
1966,28
1967,18
1968,19
1969,18
1970,36
1971,38
1972,17
1973,33
1974,38
1975,20
1976,28
1977,28
1978,28
1979,37
1980,28
1981,32
1982,24
1983,24
1984,29
1985,26
1986,35
1987,31
1988,43
1989,29
1990,38
1991,37
1992,27
1993,36
1994,38
1995,35
1996,26
1997,35
1998,35
1999,41
2000,38
2001,35
2002,33
2003,36
2004,29
2005,42
2006,32
2007,31
2008,24
2009,26
2010,28
2011,27
2012,22
