year,Berl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,13
1915,16
1916,15
1917,25
1918,23
1919,20
1920,19
1921,24
1922,26
1923,26
1924,19
1925,17
1926,23
1927,22
1928,18
1929,26
1930,13
1931,15
1932,19
1933,21
1934,15
1935,18
1936,9
1937,12
1938,13
1939,14
1940,15
1941,11
1942,12
1943,10
1944,13
1945,15
1946,13
1947,11
1948,10
1949,12
1950,12
1951,5
1952,7
1953,7
1954,9
1955,10
1956,11
1957,10
1958,13
1959,10
1960,12
1961,10
1962,0
1963,9
1964,0
1965,0
1966,5
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,7
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,5
1993,5
1994,5
1995,0
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,10
2006,9
2007,8
2008,10
2009,9
2010,5
2011,12
2012,0
