year,Berry (F),Berry (M)
1880,0.000000,0.000149
1881,0.000000,0.000114
1882,0.000000,0.000122
1883,0.000000,0.000111
1884,0.000000,0.000119
1885,0.000000,0.000100
1886,0.000000,0.000059
1887,0.000000,0.000077
1888,0.000000,0.000070
1889,0.000000,0.000080
1890,0.000000,0.000056
1891,0.000000,0.000049
1892,0.000000,0.000072
1893,0.000000,0.000068
1894,0.000000,0.000035
1895,0.000000,0.000051
1896,0.000000,0.000056
1897,0.000000,0.000049
1898,0.000000,0.000058
1899,0.000000,0.000050
1900,0.000000,0.000049
1901,0.000000,0.000058
1902,0.000000,0.000039
1903,0.000000,0.000068
1904,0.000000,0.000040
1905,0.000000,0.000050
1906,0.000000,0.000021
1907,0.000000,0.000054
1908,0.000000,0.000057
1909,0.000000,0.000065
1910,0.000000,0.000036
1911,0.000000,0.000036
1912,0.000000,0.000043
1913,0.000000,0.000036
1914,0.000000,0.000029
1915,0.000000,0.000033
1916,0.000000,0.000037
1917,0.000000,0.000023
1918,0.000000,0.000029
1919,0.000000,0.000028
1920,0.000000,0.000024
1921,0.000002,0.000033
1922,0.000000,0.000024
1923,0.000004,0.000029
1924,0.000003,0.000024
1925,0.000006,0.000024
1926,0.000003,0.000025
1927,0.000004,0.000024
1928,0.000003,0.000030
1929,0.000004,0.000029
1930,0.000005,0.000027
1931,0.000003,0.000029
1932,0.000003,0.000027
1933,0.000006,0.000028
1934,0.000006,0.000023
1935,0.000000,0.000024
1936,0.000004,0.000019
1937,0.000005,0.000025
1938,0.000000,0.000023
1939,0.000003,0.000025
1940,0.000003,0.000025
1941,0.000003,0.000020
1942,0.000002,0.000022
1943,0.000000,0.000024
1944,0.000000,0.000023
1945,0.000002,0.000018
1946,0.000002,0.000022
1947,0.000001,0.000020
1948,0.000001,0.000018
1949,0.000000,0.000019
1950,0.000003,0.000019
1951,0.000002,0.000022
1952,0.000000,0.000021
1953,0.000003,0.000021
1954,0.000002,0.000021
1955,0.000001,0.000019
1956,0.000002,0.000019
1957,0.000000,0.000020
1958,0.000000,0.000020
1959,0.000002,0.000019
1960,0.000001,0.000022
1961,0.000000,0.000021
1962,0.000001,0.000020
1963,0.000000,0.000027
1964,0.000002,0.000022
1965,0.000000,0.000022
1966,0.000001,0.000023
1967,0.000002,0.000019
1968,0.000000,0.000018
1969,0.000000,0.000020
1970,0.000002,0.000021
1971,0.000000,0.000021
1972,0.000000,0.000015
1973,0.000000,0.000016
1974,0.000002,0.000015
1975,0.000000,0.000017
1976,0.000004,0.000015
1977,0.000000,0.000013
1978,0.000003,0.000018
1979,0.000002,0.000012
1980,0.000000,0.000013
1981,0.000000,0.000011
1982,0.000000,0.000012
1983,0.000000,0.000012
1984,0.000002,0.000011
1985,0.000000,0.000010
1986,0.000001,0.000008
1987,0.000000,0.000005
1988,0.000000,0.000010
1989,0.000000,0.000009
1990,0.000000,0.000006
1991,0.000000,0.000005
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000006
1995,0.000000,0.000006
1996,0.000000,0.000003
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000002,0.000003
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000001,0.000001
2012,0.000001,0.000002
2013,0.000000,0.000001
2014,0.000000,0.000000
2015,0.000002,0.000003
2016,0.000000,0.000003
2017,0.000002,0.000000
2018,0.000000,0.000003
2019,0.000000,0.000002
2020,0.000000,0.000003
