year,Barbaraann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,7
1935,0
1936,11
1937,14
1938,10
1939,19
1940,22
1941,33
1942,33
1943,32
1944,19
1945,27
1946,29
1947,23
1948,36
1949,17
1950,9
1951,17
1952,27
1953,17
1954,11
1955,11
1956,12
1957,9
1958,0
1959,8
1960,20
1961,12
1962,19
1963,19
1964,12
1965,9
1966,14
1967,7
1968,6
1969,13
1970,7
1971,11
1972,6
1973,7
1974,5
1975,9
1976,5
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,5
1988,5
1989,6
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
