year,Burma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,7
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,5
1906,0
1907,5
1908,8
1909,6
1910,7
1911,5
1912,13
1913,7
1914,7
1915,15
1916,13
1917,18
1918,14
1919,26
1920,12
1921,15
1922,20
1923,18
1924,20
1925,16
1926,15
1927,19
1928,13
1929,9
1930,14
1931,15
1932,12
1933,15
1934,16
1935,12
1936,15
1937,16
1938,28
1939,19
1940,17
1941,47
1942,37
1943,30
1944,33
1945,40
1946,26
1947,36
1948,23
1949,19
1950,22
1951,18
1952,15
1953,18
1954,7
1955,5
1956,9
1957,7
1958,12
1959,9
1960,9
1961,0
1962,0
1963,0
1964,5
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
