year,Bedford
1880,7
1881,5
1882,8
1883,0
1884,5
1885,0
1886,5
1887,8
1888,5
1889,6
1890,0
1891,0
1892,7
1893,0
1894,5
1895,6
1896,0
1897,0
1898,6
1899,5
1900,0
1901,6
1902,6
1903,5
1904,7
1905,6
1906,6
1907,7
1908,5
1909,6
1910,6
1911,5
1912,5
1913,16
1914,27
1915,29
1916,17
1917,23
1918,28
1919,25
1920,30
1921,30
1922,28
1923,27
1924,41
1925,30
1926,23
1927,26
1928,33
1929,37
1930,24
1931,17
1932,23
1933,24
1934,26
1935,23
1936,16
1937,18
1938,14
1939,16
1940,20
1941,20
1942,21
1943,17
1944,11
1945,16
1946,16
1947,14
1948,14
1949,10
1950,11
1951,12
1952,16
1953,12
1954,21
1955,20
1956,0
1957,10
1958,10
1959,9
1960,7
1961,7
1962,10
1963,9
1964,10
1965,8
1966,10
1967,6
1968,8
1969,7
1970,0
1971,0
1972,0
1973,8
1974,0
1975,5
1976,6
1977,0
1978,5
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,5
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
