year,Brigette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,6
1955,8
1956,12
1957,23
1958,80
1959,102
1960,111
1961,102
1962,106
1963,137
1964,120
1965,138
1966,175
1967,154
1968,185
1969,146
1970,140
1971,148
1972,132
1973,162
1974,134
1975,109
1976,132
1977,118
1978,103
1979,94
1980,136
1981,82
1982,122
1983,122
1984,107
1985,91
1986,128
1987,121
1988,138
1989,134
1990,135
1991,135
1992,114
1993,82
1994,143
1995,68
1996,90
1997,72
1998,50
1999,60
2000,50
2001,43
2002,53
2003,55
2004,48
2005,42
2006,49
2007,43
2008,30
2009,32
2010,27
2011,18
2012,23
