year,Bambi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,8
1944,7
1945,9
1946,11
1947,15
1948,6
1949,9
1950,11
1951,8
1952,20
1953,78
1954,104
1955,154
1956,217
1957,227
1958,214
1959,242
1960,252
1961,178
1962,185
1963,162
1964,127
1965,94
1966,98
1967,65
1968,60
1969,73
1970,59
1971,68
1972,71
1973,80
1974,102
1975,108
1976,118
1977,214
1978,209
1979,327
1980,322
1981,203
1982,160
1983,103
1984,74
1985,62
1986,32
1987,35
1988,23
1989,31
1990,20
1991,13
1992,11
1993,13
1994,7
1995,7
1996,6
1997,5
1998,5
1999,5
2000,5
2001,0
2002,0
2003,5
2004,5
2005,8
2006,0
2007,0
2008,7
2009,0
2010,0
2011,0
2012,6
