year,Brittani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,12
1972,6
1973,6
1974,11
1975,10
1976,7
1977,23
1978,30
1979,36
1980,41
1981,72
1982,112
1983,132
1984,282
1985,562
1986,697
1987,796
1988,875
1989,1155
1990,1220
1991,986
1992,848
1993,732
1994,585
1995,526
1996,436
1997,358
1998,303
1999,216
2000,151
2001,100
2002,56
2003,53
2004,35
2005,42
2006,27
2007,24
2008,32
2009,28
2010,18
2011,20
2012,14
