year,Brennon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,9
1968,12
1969,15
1970,12
1971,13
1972,18
1973,18
1974,11
1975,19
1976,12
1977,19
1978,14
1979,19
1980,36
1981,26
1982,19
1983,33
1984,49
1985,26
1986,34
1987,63
1988,48
1989,56
1990,73
1991,89
1992,96
1993,117
1994,117
1995,130
1996,141
1997,150
1998,161
1999,173
2000,152
2001,158
2002,143
2003,148
2004,126
2005,114
2006,140
2007,151
2008,164
2009,189
2010,167
2011,126
2012,116
