year,Buena
1880,0
1881,0
1882,6
1883,0
1884,0
1885,7
1886,6
1887,6
1888,0
1889,15
1890,6
1891,9
1892,6
1893,19
1894,15
1895,5
1896,13
1897,11
1898,15
1899,13
1900,12
1901,8
1902,7
1903,0
1904,12
1905,13
1906,7
1907,19
1908,8
1909,15
1910,9
1911,13
1912,19
1913,10
1914,23
1915,24
1916,30
1917,34
1918,32
1919,31
1920,33
1921,28
1922,31
1923,26
1924,22
1925,30
1926,18
1927,19
1928,16
1929,15
1930,23
1931,13
1932,19
1933,9
1934,10
1935,17
1936,13
1937,10
1938,11
1939,7
1940,7
1941,11
1942,7
1943,8
1944,8
1945,10
1946,14
1947,7
1948,10
1949,6
1950,5
1951,0
1952,5
1953,6
1954,7
1955,11
1956,0
1957,6
1958,6
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
