year,Buren
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,9
1913,11
1914,19
1915,30
1916,35
1917,27
1918,22
1919,28
1920,27
1921,27
1922,22
1923,15
1924,24
1925,22
1926,22
1927,26
1928,20
1929,17
1930,15
1931,18
1932,20
1933,14
1934,11
1935,9
1936,16
1937,7
1938,9
1939,10
1940,11
1941,17
1942,12
1943,9
1944,9
1945,15
1946,11
1947,11
1948,7
1949,8
1950,5
1951,11
1952,0
1953,0
1954,6
1955,7
1956,0
1957,5
1958,0
1959,6
1960,11
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,0
1974,6
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
