year,Bert (F),Bert (M)
1880,0.000000,0.001727
1881,0.000000,0.001619
1882,0.000000,0.001539
1883,0.000023,0.001258
1884,0.000021,0.001150
1885,0.000000,0.001146
1886,0.000000,0.000893
1887,0.000036,0.000958
1888,0.000023,0.000942
1889,0.000000,0.000799
1890,0.000000,0.000597
1891,0.000021,0.000631
1892,0.000015,0.000598
1893,0.000000,0.000566
1894,0.000030,0.000552
1895,0.000020,0.000424
1896,0.000022,0.000484
1897,0.000023,0.000412
1898,0.000026,0.000375
1899,0.000000,0.000374
1900,0.000024,0.000340
1901,0.000032,0.000370
1902,0.000039,0.000336
1903,0.000034,0.000346
1904,0.000025,0.000297
1905,0.000019,0.000316
1906,0.000030,0.000247
1907,0.000015,0.000239
1908,0.000029,0.000246
1909,0.000016,0.000233
1910,0.000019,0.000239
1911,0.000019,0.000275
1912,0.000017,0.000336
1913,0.000012,0.000299
1914,0.000014,0.000316
1915,0.000012,0.000290
1916,0.000007,0.000287
1917,0.000008,0.000266
1918,0.000008,0.000321
1919,0.000009,0.000270
1920,0.000007,0.000262
1921,0.000003,0.000283
1922,0.000007,0.000266
1923,0.000007,0.000249
1924,0.000005,0.000260
1925,0.000006,0.000230
1926,0.000006,0.000226
1927,0.000006,0.000246
1928,0.000004,0.000229
1929,0.000005,0.000258
1930,0.000004,0.000244
1931,0.000010,0.000220
1932,0.000004,0.000219
1933,0.000004,0.000204
1934,0.000005,0.000202
1935,0.000000,0.000225
1936,0.000003,0.000181
1937,0.000004,0.000181
1938,0.000002,0.000162
1939,0.000000,0.000168
1940,0.000003,0.000167
1941,0.000005,0.000145
1942,0.000003,0.000153
1943,0.000000,0.000147
1944,0.000003,0.000143
1945,0.000000,0.000123
1946,0.000000,0.000114
1947,0.000002,0.000110
1948,0.000002,0.000116
1949,0.000000,0.000104
1950,0.000002,0.000097
1951,0.000002,0.000102
1952,0.000000,0.000101
1953,0.000000,0.000093
1954,0.000002,0.000088
1955,0.000001,0.000100
1956,0.000002,0.000092
1957,0.000001,0.000081
1958,0.000000,0.000104
1959,0.000002,0.000093
1960,0.000001,0.000094
1961,0.000000,0.000078
1962,0.000000,0.000089
1963,0.000000,0.000082
1964,0.000000,0.000086
1965,0.000000,0.000072
1966,0.000000,0.000073
1967,0.000000,0.000072
1968,0.000000,0.000064
1969,0.000000,0.000061
1970,0.000000,0.000067
1971,0.000000,0.000061
1972,0.000000,0.000064
1973,0.000000,0.000053
1974,0.000000,0.000046
1975,0.000000,0.000054
1976,0.000000,0.000048
1977,0.000000,0.000048
1978,0.000000,0.000036
1979,0.000000,0.000034
1980,0.000000,0.000034
1981,0.000000,0.000028
1982,0.000000,0.000024
1983,0.000000,0.000024
1984,0.000000,0.000020
1985,0.000000,0.000017
1986,0.000000,0.000020
1987,0.000000,0.000018
1988,0.000000,0.000015
1989,0.000000,0.000011
1990,0.000000,0.000014
1991,0.000000,0.000014
1992,0.000000,0.000011
1993,0.000000,0.000006
1994,0.000000,0.000009
1995,0.000000,0.000008
1996,0.000000,0.000008
1997,0.000000,0.000004
1998,0.000000,0.000007
1999,0.000000,0.000004
2000,0.000000,0.000006
2001,0.000000,0.000006
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000005
2007,0.000000,0.000004
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000003
2012,0.000000,0.000003
