year,Bertie (F),Bertie (M)
1880,0.000382,0.000040
1881,0.000353,0.000047
1882,0.000433,0.000054
1883,0.000489,0.000046
1884,0.000407,0.000053
1885,0.000523,0.000046
1886,0.000591,0.000031
1887,0.000437,0.000040
1888,0.000598,0.000020
1889,0.000495,0.000055
1890,0.000524,0.000027
1891,0.000544,0.000028
1892,0.000505,0.000045
1893,0.000513,0.000043
1894,0.000526,0.000021
1895,0.000439,0.000026
1896,0.000512,0.000022
1897,0.000504,0.000017
1898,0.000438,0.000024
1899,0.000478,0.000015
1900,0.000451,0.000000
1901,0.000567,0.000029
1902,0.000530,0.000023
1903,0.000493,0.000016
1904,0.000466,0.000020
1905,0.000389,0.000012
1906,0.000350,0.000014
1907,0.000404,0.000021
1908,0.000336,0.000012
1909,0.000360,0.000016
1910,0.000330,0.000000
1911,0.000270,0.000019
1912,0.000225,0.000012
1913,0.000202,0.000009
1914,0.000169,0.000016
1915,0.000187,0.000010
1916,0.000169,0.000007
1917,0.000150,0.000006
1918,0.000142,0.000013
1919,0.000142,0.000013
1920,0.000135,0.000007
1921,0.000125,0.000011
1922,0.000140,0.000008
1923,0.000111,0.000007
1924,0.000109,0.000008
1925,0.000108,0.000009
1926,0.000118,0.000009
1927,0.000103,0.000009
1928,0.000175,0.000008
1929,0.000122,0.000006
1930,0.000105,0.000009
1931,0.000096,0.000010
1932,0.000108,0.000006
1933,0.000098,0.000003
1934,0.000091,0.000007
1935,0.000084,0.000003
1936,0.000085,0.000009
1937,0.000064,0.000004
1938,0.000071,0.000005
1939,0.000063,0.000006
1940,0.000053,0.000006
1941,0.000054,0.000002
1942,0.000046,0.000002
1943,0.000042,0.000003
1944,0.000041,0.000003
1945,0.000034,0.000004
1946,0.000028,0.000003
1947,0.000026,0.000002
1948,0.000022,0.000000
1949,0.000020,0.000002
1950,0.000015,0.000001
1951,0.000019,0.000001
1952,0.000012,0.000000
1953,0.000011,0.000002
1954,0.000011,0.000000
1955,0.000009,0.000000
1956,0.000010,0.000001
1957,0.000007,0.000000
1958,0.000006,0.000000
1959,0.000007,0.000000
1960,0.000004,0.000001
1961,0.000005,0.000000
1962,0.000004,0.000001
1963,0.000006,0.000000
1964,0.000004,0.000000
1965,0.000003,0.000000
1966,0.000003,0.000001
1967,0.000002,0.000000
1968,0.000004,0.000000
1969,0.000003,0.000000
1970,0.000004,0.000000
1971,0.000002,0.000000
1972,0.000004,0.000000
1973,0.000000,0.000000
1974,0.000000,0.000000
1975,0.000002,0.000000
1976,0.000002,0.000000
1977,0.000002,0.000000
1978,0.000002,0.000000
1979,0.000000,0.000002
1980,0.000000,0.000000
1981,0.000000,0.000000
1982,0.000000,0.000000
1983,0.000000,0.000000
1984,0.000000,0.000000
1985,0.000000,0.000000
1986,0.000001,0.000000
1987,0.000000,0.000000
1988,0.000000,0.000000
1989,0.000000,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000001,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000003,0.000000
2019,0.000004,0.000000
2020,0.000003,0.000000
