year,Bennett (F),Bennett (M)
1880,0.000000,0.000074
1881,0.000000,0.000073
1882,0.000000,0.000063
1883,0.000000,0.000041
1884,0.000000,0.000053
1885,0.000000,0.000058
1886,0.000000,0.000023
1887,0.000000,0.000069
1888,0.000000,0.000050
1889,0.000000,0.000042
1890,0.000000,0.000056
1891,0.000000,0.000031
1892,0.000000,0.000024
1893,0.000000,0.000022
1894,0.000000,0.000041
1895,0.000000,0.000026
1896,0.000000,0.000050
1897,0.000000,0.000026
1898,0.000000,0.000045
1899,0.000000,0.000029
1900,0.000000,0.000036
1901,0.000000,0.000035
1902,0.000000,0.000028
1903,0.000000,0.000039
1904,0.000000,0.000020
1905,0.000000,0.000033
1906,0.000000,0.000047
1907,0.000000,0.000049
1908,0.000000,0.000039
1909,0.000000,0.000029
1910,0.000000,0.000037
1911,0.000000,0.000039
1912,0.000000,0.000045
1913,0.000000,0.000052
1914,0.000000,0.000042
1915,0.000000,0.000051
1916,0.000000,0.000041
1917,0.000002,0.000045
1918,0.000000,0.000047
1919,0.000000,0.000051
1920,0.000000,0.000042
1921,0.000000,0.000036
1922,0.000000,0.000043
1923,0.000000,0.000039
1924,0.000000,0.000040
1925,0.000000,0.000051
1926,0.000003,0.000051
1927,0.000000,0.000046
1928,0.000000,0.000042
1929,0.000000,0.000048
1930,0.000000,0.000037
1931,0.000000,0.000045
1932,0.000000,0.000045
1933,0.000000,0.000055
1934,0.000000,0.000053
1935,0.000000,0.000032
1936,0.000000,0.000051
1937,0.000000,0.000040
1938,0.000000,0.000042
1939,0.000000,0.000048
1940,0.000000,0.000043
1941,0.000002,0.000041
1942,0.000000,0.000037
1943,0.000000,0.000036
1944,0.000000,0.000037
1945,0.000000,0.000040
1946,0.000000,0.000041
1947,0.000000,0.000035
1948,0.000000,0.000039
1949,0.000000,0.000040
1950,0.000000,0.000038
1951,0.000000,0.000039
1952,0.000000,0.000038
1953,0.000000,0.000037
1954,0.000000,0.000046
1955,0.000000,0.000052
1956,0.000000,0.000054
1957,0.000001,0.000055
1958,0.000000,0.000047
1959,0.000000,0.000056
1960,0.000000,0.000049
1961,0.000000,0.000047
1962,0.000000,0.000053
1963,0.000000,0.000057
1964,0.000000,0.000049
1965,0.000000,0.000035
1966,0.000000,0.000040
1967,0.000000,0.000034
1968,0.000000,0.000032
1969,0.000000,0.000032
1970,0.000000,0.000030
1971,0.000000,0.000025
1972,0.000000,0.000028
1973,0.000000,0.000018
1974,0.000000,0.000021
1975,0.000000,0.000025
1976,0.000000,0.000022
1977,0.000000,0.000022
1978,0.000000,0.000023
1979,0.000000,0.000033
1980,0.000001,0.000035
1981,0.000000,0.000034
1982,0.000000,0.000036
1983,0.000000,0.000038
1984,0.000002,0.000040
1985,0.000000,0.000045
1986,0.000000,0.000046
1987,0.000000,0.000044
1988,0.000000,0.000055
1989,0.000002,0.000065
1990,0.000002,0.000057
1991,0.000002,0.000059
1992,0.000003,0.000062
1993,0.000003,0.000058
1994,0.000000,0.000066
1995,0.000002,0.000072
1996,0.000004,0.000089
1997,0.000002,0.000108
1998,0.000002,0.000122
1999,0.000004,0.000118
2000,0.000003,0.000144
2001,0.000006,0.000134
2002,0.000004,0.000149
2003,0.000004,0.000156
2004,0.000006,0.000169
2005,0.000008,0.000191
2006,0.000010,0.000207
2007,0.000010,0.000207
2008,0.000012,0.000220
2009,0.000012,0.000275
2010,0.000015,0.000328
2011,0.000018,0.000408
2012,0.000016,0.000524
