year,Burr
1880,11
1881,0
1882,9
1883,7
1884,11
1885,8
1886,6
1887,9
1888,7
1889,11
1890,0
1891,10
1892,9
1893,0
1894,9
1895,0
1896,6
1897,0
1898,0
1899,11
1900,6
1901,0
1902,0
1903,0
1904,5
1905,5
1906,0
1907,0
1908,5
1909,6
1910,0
1911,7
1912,15
1913,11
1914,17
1915,21
1916,23
1917,16
1918,17
1919,16
1920,22
1921,19
1922,23
1923,15
1924,14
1925,15
1926,14
1927,16
1928,13
1929,16
1930,5
1931,10
1932,6
1933,8
1934,12
1935,11
1936,10
1937,13
1938,7
1939,10
1940,6
1941,17
1942,10
1943,11
1944,8
1945,11
1946,12
1947,12
1948,5
1949,9
1950,10
1951,8
1952,10
1953,10
1954,12
1955,9
1956,15
1957,5
1958,5
1959,8
1960,0
1961,7
1962,0
1963,6
1964,5
1965,6
1966,0
1967,0
1968,0
1969,7
1970,7
1971,6
1972,0
1973,0
1974,0
1975,8
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
