year,Brigham
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,9
1961,0
1962,10
1963,5
1964,7
1965,7
1966,6
1967,10
1968,13
1969,13
1970,11
1971,14
1972,15
1973,15
1974,21
1975,20
1976,18
1977,29
1978,22
1979,21
1980,33
1981,32
1982,30
1983,19
1984,25
1985,21
1986,20
1987,19
1988,24
1989,26
1990,20
1991,24
1992,21
1993,21
1994,33
1995,34
1996,34
1997,63
1998,61
1999,55
2000,73
2001,88
2002,87
2003,71
2004,83
2005,80
2006,92
2007,97
2008,97
2009,96
2010,104
2011,134
2012,129
