year,Brandee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,7
1962,0
1963,11
1964,13
1965,10
1966,20
1967,28
1968,41
1969,41
1970,72
1971,76
1972,177
1973,245
1974,224
1975,253
1976,244
1977,204
1978,205
1979,215
1980,231
1981,183
1982,209
1983,214
1984,141
1985,151
1986,146
1987,140
1988,182
1989,195
1990,166
1991,116
1992,163
1993,130
1994,161
1995,143
1996,110
1997,85
1998,71
1999,61
2000,38
2001,55
2002,31
2003,33
2004,35
2005,21
2006,24
2007,24
2008,9
2009,24
2010,19
2011,12
2012,13
