year,Buster (F),Buster (M)
1880,0.000000,0.000040
1881,0.000000,0.000026
1882,0.000000,0.000041
1883,0.000000,0.000032
1884,0.000000,0.000045
1885,0.000000,0.000058
1886,0.000000,0.000067
1887,0.000000,0.000040
1888,0.000000,0.000023
1889,0.000000,0.000052
1890,0.000000,0.000027
1891,0.000000,0.000045
1892,0.000000,0.000027
1893,0.000000,0.000040
1894,0.000000,0.000044
1895,0.000000,0.000046
1896,0.000000,0.000059
1897,0.000000,0.000055
1898,0.000000,0.000029
1899,0.000000,0.000047
1900,0.000000,0.000056
1901,0.000000,0.000052
1902,0.000000,0.000075
1903,0.000000,0.000060
1904,0.000000,0.000099
1905,0.000000,0.000123
1906,0.000000,0.000140
1907,0.000000,0.000138
1908,0.000000,0.000145
1909,0.000000,0.000166
1910,0.000000,0.000166
1911,0.000000,0.000171
1912,0.000000,0.000142
1913,0.000000,0.000136
1914,0.000000,0.000131
1915,0.000000,0.000117
1916,0.000000,0.000113
1917,0.000000,0.000103
1918,0.000002,0.000113
1919,0.000000,0.000104
1920,0.000000,0.000091
1921,0.000000,0.000100
1922,0.000000,0.000080
1923,0.000000,0.000084
1924,0.000000,0.000084
1925,0.000000,0.000082
1926,0.000000,0.000064
1927,0.000000,0.000078
1928,0.000000,0.000065
1929,0.000000,0.000062
1930,0.000000,0.000064
1931,0.000000,0.000054
1932,0.000000,0.000065
1933,0.000000,0.000058
1934,0.000000,0.000055
1935,0.000000,0.000050
1936,0.000000,0.000051
1937,0.000000,0.000054
1938,0.000000,0.000034
1939,0.000000,0.000035
1940,0.000000,0.000041
1941,0.000000,0.000027
1942,0.000000,0.000034
1943,0.000000,0.000030
1944,0.000000,0.000028
1945,0.000000,0.000031
1946,0.000000,0.000026
1947,0.000000,0.000022
1948,0.000000,0.000023
1949,0.000000,0.000021
1950,0.000000,0.000027
1951,0.000000,0.000025
1952,0.000000,0.000019
1953,0.000000,0.000020
1954,0.000000,0.000015
1955,0.000000,0.000016
1956,0.000000,0.000016
1957,0.000000,0.000017
1958,0.000000,0.000014
1959,0.000000,0.000010
1960,0.000000,0.000013
1961,0.000000,0.000009
1962,0.000000,0.000012
1963,0.000000,0.000008
1964,0.000000,0.000009
1965,0.000000,0.000012
1966,0.000000,0.000011
1967,0.000000,0.000006
1968,0.000000,0.000006
1969,0.000000,0.000009
1970,0.000000,0.000006
1971,0.000000,0.000008
1972,0.000000,0.000009
1973,0.000000,0.000006
1974,0.000000,0.000007
1975,0.000000,0.000007
1976,0.000000,0.000009
1977,0.000000,0.000010
1978,0.000000,0.000008
1979,0.000000,0.000011
1980,0.000000,0.000007
1981,0.000000,0.000006
1982,0.000000,0.000005
1983,0.000000,0.000006
1984,0.000000,0.000006
1985,0.000000,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000003
1988,0.000000,0.000004
1989,0.000000,0.000003
1990,0.000000,0.000005
1991,0.000000,0.000004
1992,0.000000,0.000004
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000005
1996,0.000000,0.000004
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000004
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000003
2005,0.000000,0.000004
2006,0.000000,0.000002
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000003
2011,0.000000,0.000004
2012,0.000000,0.000003
