year,Bryce (F),Bryce (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000012
1910,0.000000,0.000008
1911,0.000000,0.000000
1912,0.000000,0.000016
1913,0.000000,0.000018
1914,0.000000,0.000016
1915,0.000000,0.000018
1916,0.000000,0.000019
1917,0.000000,0.000015
1918,0.000000,0.000024
1919,0.000000,0.000029
1920,0.000000,0.000051
1921,0.000000,0.000055
1922,0.000000,0.000040
1923,0.000000,0.000034
1924,0.000000,0.000037
1925,0.000000,0.000037
1926,0.000000,0.000031
1927,0.000000,0.000031
1928,0.000000,0.000033
1929,0.000000,0.000031
1930,0.000000,0.000037
1931,0.000000,0.000035
1932,0.000000,0.000044
1933,0.000000,0.000030
1934,0.000000,0.000034
1935,0.000000,0.000033
1936,0.000000,0.000030
1937,0.000000,0.000031
1938,0.000000,0.000031
1939,0.000000,0.000026
1940,0.000000,0.000030
1941,0.000000,0.000026
1942,0.000000,0.000023
1943,0.000000,0.000031
1944,0.000000,0.000021
1945,0.000000,0.000027
1946,0.000002,0.000035
1947,0.000000,0.000030
1948,0.000000,0.000032
1949,0.000000,0.000028
1950,0.000000,0.000035
1951,0.000002,0.000037
1952,0.000000,0.000036
1953,0.000000,0.000038
1954,0.000001,0.000039
1955,0.000002,0.000036
1956,0.000000,0.000046
1957,0.000000,0.000034
1958,0.000000,0.000039
1959,0.000000,0.000040
1960,0.000000,0.000045
1961,0.000000,0.000039
1962,0.000000,0.000051
1963,0.000000,0.000051
1964,0.000000,0.000050
1965,0.000000,0.000052
1966,0.000001,0.000056
1967,0.000000,0.000053
1968,0.000000,0.000058
1969,0.000001,0.000063
1970,0.000000,0.000078
1971,0.000001,0.000077
1972,0.000003,0.000149
1973,0.000000,0.000134
1974,0.000003,0.000130
1975,0.000003,0.000157
1976,0.000003,0.000147
1977,0.000003,0.000166
1978,0.000004,0.000165
1979,0.000004,0.000161
1980,0.000005,0.000191
1981,0.000008,0.000192
1982,0.000005,0.000181
1983,0.000005,0.000204
1984,0.000005,0.000240
1985,0.000008,0.000276
1986,0.000006,0.000342
1987,0.000007,0.000376
1988,0.000008,0.000429
1989,0.000007,0.000426
1990,0.000008,0.000460
1991,0.000006,0.000445
1992,0.000007,0.000477
1993,0.000020,0.000522
1994,0.000037,0.000630
1995,0.000039,0.000661
1996,0.000032,0.000848
1997,0.000033,0.000925
1998,0.000045,0.001102
1999,0.000039,0.001124
2000,0.000031,0.001143
2001,0.000033,0.001110
2002,0.000021,0.001089
2003,0.000022,0.001086
2004,0.000029,0.001054
2005,0.000027,0.001016
2006,0.000029,0.001006
2007,0.000029,0.000986
2008,0.000022,0.000933
2009,0.000026,0.000972
2010,0.000021,0.000940
2011,0.000031,0.000920
2012,0.000025,0.000872
