year,Boone
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,8
1914,0
1915,6
1916,8
1917,0
1918,12
1919,12
1920,15
1921,9
1922,6
1923,9
1924,8
1925,6
1926,6
1927,11
1928,13
1929,6
1930,5
1931,0
1932,8
1933,7
1934,0
1935,0
1936,7
1937,5
1938,0
1939,9
1940,7
1941,6
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,9
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,6
1969,7
1970,6
1971,7
1972,0
1973,11
1974,12
1975,10
1976,17
1977,13
1978,8
1979,18
1980,17
1981,16
1982,13
1983,13
1984,36
1985,34
1986,27
1987,25
1988,25
1989,18
1990,22
1991,21
1992,37
1993,24
1994,39
1995,28
1996,34
1997,27
1998,33
1999,25
2000,33
2001,36
2002,36
2003,37
2004,31
2005,53
2006,51
2007,61
2008,70
2009,88
2010,88
2011,93
2012,128
