year,Buelah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,8
1891,5
1892,0
1893,7
1894,5
1895,10
1896,19
1897,7
1898,5
1899,7
1900,13
1901,13
1902,11
1903,13
1904,9
1905,18
1906,8
1907,14
1908,16
1909,22
1910,24
1911,13
1912,19
1913,28
1914,29
1915,31
1916,48
1917,30
1918,46
1919,55
1920,52
1921,53
1922,36
1923,38
1924,41
1925,43
1926,52
1927,58
1928,34
1929,19
1930,35
1931,27
1932,27
1933,24
1934,24
1935,25
1936,20
1937,14
1938,12
1939,20
1940,12
1941,14
1942,22
1943,13
1944,7
1945,12
1946,11
1947,10
1948,8
1949,8
1950,6
1951,5
1952,5
1953,8
1954,8
1955,5
1956,0
1957,0
1958,5
1959,0
1960,0
1961,0
1962,0
1963,0
1964,6
1965,0
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
