year,Bucky
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,7
1933,10
1934,16
1935,8
1936,9
1937,14
1938,17
1939,7
1940,8
1941,10
1942,6
1943,11
1944,14
1945,9
1946,11
1947,17
1948,12
1949,18
1950,24
1951,12
1952,20
1953,13
1954,22
1955,17
1956,28
1957,21
1958,36
1959,24
1960,16
1961,18
1962,16
1963,18
1964,14
1965,9
1966,10
1967,11
1968,16
1969,23
1970,21
1971,15
1972,5
1973,7
1974,19
1975,25
1976,33
1977,47
1978,46
1979,50
1980,25
1981,19
1982,20
1983,10
1984,8
1985,15
1986,9
1987,6
1988,0
1989,8
1990,9
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,8
2008,0
2009,0
2010,0
2011,0
2012,0
