year,Bentley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,9
1912,0
1913,6
1914,5
1915,6
1916,15
1917,14
1918,14
1919,14
1920,11
1921,15
1922,13
1923,12
1924,16
1925,16
1926,18
1927,17
1928,8
1929,12
1930,15
1931,8
1932,10
1933,14
1934,10
1935,11
1936,13
1937,8
1938,9
1939,10
1940,14
1941,20
1942,19
1943,10
1944,14
1945,9
1946,16
1947,16
1948,14
1949,7
1950,10
1951,9
1952,17
1953,16
1954,16
1955,12
1956,18
1957,10
1958,41
1959,46
1960,43
1961,65
1962,67
1963,42
1964,50
1965,29
1966,32
1967,27
1968,21
1969,24
1970,25
1971,20
1972,17
1973,16
1974,18
1975,11
1976,22
1977,16
1978,21
1979,23
1980,22
1981,18
1982,29
1983,20
1984,18
1985,32
1986,32
1987,33
1988,44
1989,42
1990,35
1991,34
1992,37
1993,34
1994,38
1995,40
1996,43
1997,54
1998,47
1999,63
2000,66
2001,114
2002,106
2003,118
2004,146
2005,186
2006,246
2007,276
2008,309
2009,666
2010,3995
2011,5845
2012,6100
