year,Beecher
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,5
1887,0
1888,7
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,5
1899,0
1900,0
1901,0
1902,5
1903,5
1904,9
1905,9
1906,0
1907,0
1908,7
1909,0
1910,7
1911,6
1912,12
1913,8
1914,28
1915,17
1916,31
1917,35
1918,27
1919,30
1920,21
1921,36
1922,31
1923,19
1924,25
1925,32
1926,24
1927,18
1928,26
1929,19
1930,21
1931,22
1932,27
1933,11
1934,14
1935,12
1936,15
1937,18
1938,12
1939,18
1940,16
1941,10
1942,18
1943,13
1944,16
1945,9
1946,15
1947,16
1948,16
1949,13
1950,11
1951,9
1952,11
1953,9
1954,7
1955,10
1956,13
1957,6
1958,6
1959,8
1960,8
1961,7
1962,7
1963,9
1964,6
1965,7
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,7
1976,5
1977,6
1978,6
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
