year,Broadus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,6
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,9
1913,11
1914,18
1915,22
1916,23
1917,26
1918,19
1919,29
1920,22
1921,14
1922,23
1923,31
1924,32
1925,23
1926,16
1927,22
1928,24
1929,20
1930,18
1931,20
1932,11
1933,19
1934,18
1935,14
1936,16
1937,11
1938,10
1939,17
1940,12
1941,10
1942,25
1943,16
1944,12
1945,7
1946,8
1947,17
1948,14
1949,10
1950,13
1951,10
1952,11
1953,12
1954,11
1955,10
1956,14
1957,16
1958,9
1959,8
1960,6
1961,5
1962,0
1963,11
1964,5
1965,7
1966,5
1967,0
1968,5
1969,0
1970,0
1971,11
1972,0
1973,5
1974,6
1975,0
1976,0
1977,0
1978,0
1979,0
1980,6
1981,0
1982,6
1983,0
1984,5
1985,5
1986,0
1987,7
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
