year,Bridgit
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,7
1956,5
1957,0
1958,9
1959,11
1960,32
1961,22
1962,32
1963,31
1964,35
1965,22
1966,41
1967,26
1968,17
1969,18
1970,40
1971,23
1972,28
1973,30
1974,24
1975,20
1976,32
1977,36
1978,30
1979,35
1980,33
1981,41
1982,26
1983,25
1984,28
1985,15
1986,21
1987,6
1988,18
1989,20
1990,18
1991,7
1992,27
1993,23
1994,28
1995,18
1996,19
1997,17
1998,18
1999,26
2000,12
2001,19
2002,15
2003,11
2004,14
2005,23
2006,11
2007,19
2008,8
2009,8
2010,8
2011,24
2012,11
