year,Brice (F),Brice (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000036
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000033
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000017
1889,0.000000,0.000024
1890,0.000000,0.000020
1891,0.000000,0.000024
1892,0.000000,0.000024
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000017
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000000
1904,0.000000,0.000017
1905,0.000000,0.000000
1906,0.000000,0.000019
1907,0.000000,0.000017
1908,0.000000,0.000018
1909,0.000000,0.000012
1910,0.000000,0.000008
1911,0.000000,0.000012
1912,0.000000,0.000015
1913,0.000000,0.000014
1914,0.000000,0.000017
1915,0.000000,0.000019
1916,0.000000,0.000011
1917,0.000000,0.000010
1918,0.000000,0.000016
1919,0.000000,0.000019
1920,0.000000,0.000019
1921,0.000000,0.000020
1922,0.000000,0.000025
1923,0.000000,0.000020
1924,0.000000,0.000021
1925,0.000000,0.000017
1926,0.000000,0.000017
1927,0.000000,0.000015
1928,0.000000,0.000019
1929,0.000000,0.000013
1930,0.000000,0.000017
1931,0.000000,0.000023
1932,0.000000,0.000016
1933,0.000000,0.000019
1934,0.000000,0.000019
1935,0.000000,0.000010
1936,0.000000,0.000023
1937,0.000000,0.000015
1938,0.000000,0.000010
1939,0.000000,0.000017
1940,0.000000,0.000014
1941,0.000000,0.000014
1942,0.000000,0.000011
1943,0.000000,0.000010
1944,0.000000,0.000012
1945,0.000000,0.000011
1946,0.000000,0.000012
1947,0.000000,0.000012
1948,0.000000,0.000010
1949,0.000000,0.000011
1950,0.000000,0.000011
1951,0.000000,0.000017
1952,0.000000,0.000019
1953,0.000000,0.000012
1954,0.000000,0.000011
1955,0.000000,0.000016
1956,0.000000,0.000014
1957,0.000000,0.000017
1958,0.000000,0.000013
1959,0.000000,0.000018
1960,0.000000,0.000018
1961,0.000000,0.000015
1962,0.000000,0.000016
1963,0.000000,0.000019
1964,0.000000,0.000018
1965,0.000000,0.000020
1966,0.000000,0.000021
1967,0.000000,0.000017
1968,0.000000,0.000018
1969,0.000000,0.000018
1970,0.000000,0.000028
1971,0.000000,0.000038
1972,0.000000,0.000060
1973,0.000002,0.000047
1974,0.000000,0.000039
1975,0.000002,0.000042
1976,0.000000,0.000046
1977,0.000000,0.000033
1978,0.000000,0.000046
1979,0.000000,0.000052
1980,0.000001,0.000056
1981,0.000003,0.000049
1982,0.000000,0.000049
1983,0.000000,0.000051
1984,0.000000,0.000051
1985,0.000000,0.000069
1986,0.000000,0.000086
1987,0.000000,0.000086
1988,0.000001,0.000106
1989,0.000000,0.000104
1990,0.000000,0.000088
1991,0.000000,0.000080
1992,0.000001,0.000080
1993,0.000004,0.000079
1994,0.000008,0.000086
1995,0.000009,0.000087
1996,0.000005,0.000081
1997,0.000006,0.000104
1998,0.000008,0.000106
1999,0.000006,0.000106
2000,0.000005,0.000094
2001,0.000002,0.000096
2002,0.000004,0.000089
2003,0.000004,0.000089
2004,0.000002,0.000083
2005,0.000003,0.000090
2006,0.000003,0.000080
2007,0.000004,0.000079
2008,0.000000,0.000084
2009,0.000001,0.000080
2010,0.000001,0.000066
2011,0.000000,0.000058
2012,0.000000,0.000060
2013,0.000002,0.000069
2014,0.000001,0.000065
2015,0.000003,0.000067
2016,0.000002,0.000053
2017,0.000000,0.000043
2018,0.000001,0.000040
2019,0.000002,0.000034
2020,0.000002,0.000027
