year,Buell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,6
1897,0
1898,7
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,5
1908,0
1909,0
1910,6
1911,0
1912,13
1913,19
1914,18
1915,30
1916,24
1917,24
1918,28
1919,37
1920,38
1921,33
1922,18
1923,22
1924,32
1925,26
1926,25
1927,33
1928,21
1929,15
1930,22
1931,18
1932,18
1933,22
1934,12
1935,11
1936,12
1937,17
1938,15
1939,9
1940,12
1941,10
1942,13
1943,17
1944,11
1945,8
1946,9
1947,10
1948,9
1949,6
1950,12
1951,6
1952,7
1953,5
1954,14
1955,6
1956,6
1957,0
1958,0
1959,0
1960,5
1961,0
1962,6
1963,0
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
