year,Bradford (F),Bradford (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000031
1892,0.000000,0.000000
1893,0.000000,0.000022
1894,0.000000,0.000015
1895,0.000000,0.000031
1896,0.000000,0.000036
1897,0.000000,0.000014
1898,0.000000,0.000024
1899,0.000000,0.000000
1900,0.000000,0.000029
1901,0.000000,0.000014
1902,0.000000,0.000023
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000026
1906,0.000000,0.000012
1907,0.000000,0.000019
1908,0.000000,0.000023
1909,0.000000,0.000029
1910,0.000000,0.000014
1911,0.000000,0.000034
1912,0.000000,0.000044
1913,0.000000,0.000033
1914,0.000000,0.000035
1915,0.000000,0.000038
1916,0.000000,0.000037
1917,0.000000,0.000036
1918,0.000000,0.000032
1919,0.000000,0.000033
1920,0.000000,0.000033
1921,0.000000,0.000037
1922,0.000000,0.000031
1923,0.000000,0.000032
1924,0.000000,0.000032
1925,0.000000,0.000033
1926,0.000000,0.000043
1927,0.000000,0.000041
1928,0.000000,0.000038
1929,0.000000,0.000038
1930,0.000000,0.000040
1931,0.000000,0.000041
1932,0.000000,0.000041
1933,0.000000,0.000041
1934,0.000000,0.000046
1935,0.000000,0.000044
1936,0.000000,0.000049
1937,0.000000,0.000061
1938,0.000000,0.000048
1939,0.000000,0.000058
1940,0.000000,0.000055
1941,0.000000,0.000056
1942,0.000000,0.000058
1943,0.000000,0.000061
1944,0.000000,0.000071
1945,0.000000,0.000069
1946,0.000000,0.000079
1947,0.000000,0.000091
1948,0.000000,0.000109
1949,0.000000,0.000142
1950,0.000000,0.000164
1951,0.000000,0.000156
1952,0.000000,0.000172
1953,0.000000,0.000202
1954,0.000000,0.000194
1955,0.000001,0.000174
1956,0.000000,0.000175
1957,0.000000,0.000160
1958,0.000000,0.000150
1959,0.000000,0.000148
1960,0.000000,0.000161
1961,0.000000,0.000141
1962,0.000000,0.000132
1963,0.000000,0.000155
1964,0.000000,0.000155
1965,0.000000,0.000160
1966,0.000000,0.000151
1967,0.000001,0.000164
1968,0.000002,0.000158
1969,0.000000,0.000173
1970,0.000000,0.000170
1971,0.000000,0.000166
1972,0.000000,0.000149
1973,0.000000,0.000163
1974,0.000000,0.000198
1975,0.000003,0.000184
1976,0.000002,0.000195
1977,0.000002,0.000190
1978,0.000000,0.000189
1979,0.000000,0.000185
1980,0.000000,0.000183
1981,0.000000,0.000174
1982,0.000000,0.000160
1983,0.000000,0.000139
1984,0.000000,0.000136
1985,0.000000,0.000127
1986,0.000000,0.000109
1987,0.000001,0.000122
1988,0.000000,0.000100
1989,0.000000,0.000092
1990,0.000000,0.000077
1991,0.000000,0.000071
1992,0.000000,0.000070
1993,0.000000,0.000071
1994,0.000000,0.000065
1995,0.000000,0.000059
1996,0.000000,0.000058
1997,0.000000,0.000049
1998,0.000000,0.000048
1999,0.000000,0.000041
2000,0.000000,0.000033
2001,0.000000,0.000028
2002,0.000000,0.000033
2003,0.000000,0.000027
2004,0.000000,0.000026
2005,0.000000,0.000025
2006,0.000000,0.000024
2007,0.000000,0.000025
2008,0.000000,0.000015
2009,0.000000,0.000020
2010,0.000000,0.000021
2011,0.000000,0.000020
2012,0.000000,0.000022
2013,0.000000,0.000018
