year,Burke
1880,0
1881,6
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,16
1913,14
1914,16
1915,19
1916,21
1917,17
1918,23
1919,22
1920,28
1921,26
1922,35
1923,20
1924,30
1925,24
1926,25
1927,18
1928,28
1929,21
1930,16
1931,18
1932,18
1933,25
1934,21
1935,22
1936,16
1937,17
1938,22
1939,21
1940,13
1941,23
1942,25
1943,30
1944,18
1945,22
1946,13
1947,26
1948,24
1949,23
1950,18
1951,30
1952,28
1953,21
1954,39
1955,32
1956,31
1957,40
1958,34
1959,24
1960,31
1961,24
1962,23
1963,52
1964,57
1965,51
1966,38
1967,41
1968,58
1969,54
1970,62
1971,49
1972,58
1973,42
1974,45
1975,35
1976,41
1977,31
1978,42
1979,28
1980,34
1981,24
1982,19
1983,45
1984,30
1985,24
1986,31
1987,28
1988,22
1989,25
1990,23
1991,21
1992,21
1993,25
1994,27
1995,16
1996,25
1997,33
1998,40
1999,55
2000,55
2001,53
2002,55
2003,60
2004,46
2005,74
2006,62
2007,63
2008,66
2009,65
2010,69
2011,77
2012,63
