year,Beverlee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,5
1917,0
1918,0
1919,0
1920,10
1921,10
1922,15
1923,40
1924,22
1925,31
1926,47
1927,49
1928,52
1929,59
1930,73
1931,51
1932,62
1933,47
1934,62
1935,62
1936,64
1937,48
1938,50
1939,50
1940,53
1941,48
1942,58
1943,42
1944,39
1945,53
1946,63
1947,58
1948,57
1949,51
1950,62
1951,47
1952,55
1953,70
1954,59
1955,44
1956,38
1957,48
1958,35
1959,38
1960,35
1961,17
1962,22
1963,24
1964,16
1965,14
1966,12
1967,7
1968,6
1969,6
1970,15
1971,5
1972,11
1973,9
1974,6
1975,10
1976,5
1977,9
1978,5
1979,13
1980,21
1981,16
1982,10
1983,6
1984,7
1985,8
1986,0
1987,7
1988,5
1989,0
1990,0
1991,7
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
