year,Bryna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,6
1928,0
1929,5
1930,9
1931,5
1932,6
1933,0
1934,0
1935,0
1936,0
1937,7
1938,10
1939,0
1940,13
1941,17
1942,15
1943,11
1944,14
1945,8
1946,6
1947,10
1948,13
1949,13
1950,13
1951,10
1952,8
1953,9
1954,7
1955,10
1956,5
1957,8
1958,6
1959,0
1960,9
1961,10
1962,5
1963,6
1964,7
1965,10
1966,12
1967,11
1968,10
1969,9
1970,10
1971,16
1972,14
1973,21
1974,34
1975,24
1976,28
1977,26
1978,19
1979,24
1980,27
1981,25
1982,31
1983,23
1984,29
1985,35
1986,26
1987,23
1988,15
1989,18
1990,22
1991,22
1992,27
1993,21
1994,22
1995,22
1996,14
1997,15
1998,23
1999,20
2000,22
2001,21
2002,23
2003,40
2004,28
2005,25
2006,12
2007,19
2008,22
2009,35
2010,16
2011,29
2012,26
