year,Brent (F),Brent (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000000
1912,0.000000,0.000008
1913,0.000000,0.000005
1914,0.000000,0.000000
1915,0.000000,0.000009
1916,0.000000,0.000009
1917,0.000000,0.000008
1918,0.000000,0.000009
1919,0.000000,0.000010
1920,0.000000,0.000010
1921,0.000000,0.000009
1922,0.000000,0.000006
1923,0.000000,0.000007
1924,0.000000,0.000008
1925,0.000000,0.000008
1926,0.000000,0.000009
1927,0.000000,0.000011
1928,0.000000,0.000008
1929,0.000000,0.000011
1930,0.000000,0.000013
1931,0.000000,0.000017
1932,0.000000,0.000015
1933,0.000000,0.000023
1934,0.000000,0.000022
1935,0.000000,0.000024
1936,0.000000,0.000031
1937,0.000000,0.000043
1938,0.000000,0.000052
1939,0.000000,0.000084
1940,0.000000,0.000125
1941,0.000000,0.000119
1942,0.000000,0.000115
1943,0.000000,0.000124
1944,0.000000,0.000117
1945,0.000000,0.000101
1946,0.000000,0.000158
1947,0.000002,0.000186
1948,0.000000,0.000187
1949,0.000000,0.000211
1950,0.000002,0.000259
1951,0.000002,0.000256
1952,0.000000,0.000285
1953,0.000000,0.000313
1954,0.000002,0.000308
1955,0.000000,0.000343
1956,0.000000,0.000352
1957,0.000002,0.000423
1958,0.000001,0.000503
1959,0.000002,0.000548
1960,0.000002,0.000544
1961,0.000002,0.000616
1962,0.000001,0.000635
1963,0.000002,0.000711
1964,0.000000,0.000706
1965,0.000002,0.000665
1966,0.000001,0.000774
1967,0.000005,0.000843
1968,0.000002,0.000864
1969,0.000003,0.000966
1970,0.000009,0.001184
1971,0.000006,0.001181
1972,0.000007,0.001125
1973,0.000006,0.001090
1974,0.000008,0.001123
1975,0.000006,0.001114
1976,0.000007,0.001122
1977,0.000006,0.001079
1978,0.000007,0.001002
1979,0.000005,0.001041
1980,0.000008,0.001027
1981,0.000006,0.000975
1982,0.000007,0.000947
1983,0.000006,0.000874
1984,0.000005,0.000913
1985,0.000007,0.000930
1986,0.000005,0.000861
1987,0.000009,0.000786
1988,0.000004,0.000777
1989,0.000003,0.000715
1990,0.000003,0.000660
1991,0.000002,0.000563
1992,0.000000,0.000510
1993,0.000000,0.000478
1994,0.000000,0.000439
1995,0.000000,0.000433
1996,0.000001,0.000366
1997,0.000000,0.000346
1998,0.000000,0.000327
1999,0.000000,0.000286
2000,0.000000,0.000238
2001,0.000000,0.000226
2002,0.000000,0.000195
2003,0.000000,0.000180
2004,0.000000,0.000169
2005,0.000000,0.000146
2006,0.000000,0.000138
2007,0.000000,0.000130
2008,0.000000,0.000119
2009,0.000000,0.000104
2010,0.000000,0.000100
2011,0.000000,0.000078
2012,0.000000,0.000087
2013,0.000000,0.000079
