year,Bethann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,5
1944,6
1945,0
1946,7
1947,11
1948,15
1949,9
1950,14
1951,12
1952,16
1953,22
1954,19
1955,14
1956,19
1957,29
1958,44
1959,48
1960,64
1961,84
1962,90
1963,96
1964,106
1965,110
1966,82
1967,116
1968,102
1969,111
1970,90
1971,83
1972,63
1973,74
1974,77
1975,65
1976,58
1977,69
1978,70
1979,69
1980,66
1981,70
1982,58
1983,45
1984,56
1985,62
1986,53
1987,39
1988,44
1989,40
1990,43
1991,23
1992,16
1993,19
1994,14
1995,25
1996,18
1997,23
1998,13
1999,16
2000,10
2001,10
2002,8
2003,6
2004,9
2005,10
2006,6
2007,6
2008,6
2009,0
2010,0
2011,0
2012,0
