year,Bettylou
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,6
1917,6
1918,15
1919,10
1920,17
1921,24
1922,31
1923,35
1924,74
1925,46
1926,64
1927,80
1928,61
1929,41
1930,58
1931,43
1932,51
1933,41
1934,48
1935,34
1936,29
1937,36
1938,53
1939,37
1940,35
1941,43
1942,40
1943,38
1944,27
1945,31
1946,31
1947,33
1948,12
1949,12
1950,22
1951,8
1952,10
1953,9
1954,7
1955,5
1956,0
1957,16
1958,5
1959,10
1960,8
1961,9
1962,10
1963,6
1964,5
1965,5
1966,0
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
