year,Buddie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,0
1895,0
1896,0
1897,9
1898,0
1899,0
1900,11
1901,0
1902,8
1903,9
1904,11
1905,6
1906,11
1907,6
1908,8
1909,19
1910,13
1911,10
1912,18
1913,18
1914,29
1915,32
1916,34
1917,40
1918,33
1919,30
1920,33
1921,34
1922,39
1923,43
1924,41
1925,48
1926,35
1927,37
1928,24
1929,32
1930,38
1931,45
1932,38
1933,35
1934,43
1935,41
1936,32
1937,46
1938,38
1939,24
1940,21
1941,23
1942,27
1943,17
1944,16
1945,14
1946,13
1947,16
1948,15
1949,17
1950,16
1951,10
1952,9
1953,9
1954,10
1955,8
1956,18
1957,7
1958,9
1959,15
1960,0
1961,9
1962,8
1963,0
1964,9
1965,0
1966,7
1967,10
1968,5
1969,0
1970,0
1971,9
1972,7
1973,0
1974,8
1975,0
1976,0
1977,0
1978,11
1979,5
1980,6
1981,5
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
