year,Basil (F),Basil (M)
1880,0.000000,0.000055
1881,0.000000,0.000047
1882,0.000000,0.000054
1883,0.000000,0.000037
1884,0.000000,0.000045
1885,0.000000,0.000058
1886,0.000000,0.000039
1887,0.000000,0.000053
1888,0.000000,0.000067
1889,0.000000,0.000055
1890,0.000000,0.000056
1891,0.000000,0.000042
1892,0.000000,0.000066
1893,0.000000,0.000068
1894,0.000000,0.000080
1895,0.000000,0.000063
1896,0.000000,0.000095
1897,0.000000,0.000095
1898,0.000000,0.000071
1899,0.000000,0.000083
1900,0.000000,0.000082
1901,0.000000,0.000081
1902,0.000000,0.000083
1903,0.000000,0.000060
1904,0.000000,0.000092
1905,0.000000,0.000071
1906,0.000000,0.000075
1907,0.000000,0.000084
1908,0.000000,0.000080
1909,0.000000,0.000072
1910,0.000000,0.000078
1911,0.000000,0.000107
1912,0.000000,0.000115
1913,0.000000,0.000106
1914,0.000000,0.000114
1915,0.000000,0.000133
1916,0.000000,0.000126
1917,0.000000,0.000110
1918,0.000000,0.000110
1919,0.000003,0.000125
1920,0.000000,0.000107
1921,0.000000,0.000114
1922,0.000000,0.000108
1923,0.000000,0.000106
1924,0.000000,0.000118
1925,0.000000,0.000111
1926,0.000000,0.000101
1927,0.000002,0.000107
1928,0.000000,0.000084
1929,0.000000,0.000109
1930,0.000000,0.000099
1931,0.000000,0.000073
1932,0.000000,0.000095
1933,0.000000,0.000086
1934,0.000000,0.000077
1935,0.000000,0.000084
1936,0.000000,0.000091
1937,0.000000,0.000068
1938,0.000000,0.000071
1939,0.000000,0.000061
1940,0.000000,0.000061
1941,0.000000,0.000054
1942,0.000000,0.000062
1943,0.000000,0.000047
1944,0.000000,0.000043
1945,0.000000,0.000038
1946,0.000000,0.000037
1947,0.000000,0.000044
1948,0.000000,0.000034
1949,0.000000,0.000032
1950,0.000000,0.000032
1951,0.000000,0.000030
1952,0.000000,0.000027
1953,0.000000,0.000036
1954,0.000000,0.000028
1955,0.000000,0.000026
1956,0.000000,0.000025
1957,0.000000,0.000023
1958,0.000000,0.000025
1959,0.000000,0.000026
1960,0.000000,0.000027
1961,0.000000,0.000027
1962,0.000000,0.000024
1963,0.000000,0.000026
1964,0.000000,0.000024
1965,0.000000,0.000023
1966,0.000000,0.000026
1967,0.000000,0.000021
1968,0.000000,0.000017
1969,0.000000,0.000017
1970,0.000000,0.000018
1971,0.000000,0.000019
1972,0.000000,0.000021
1973,0.000000,0.000019
1974,0.000000,0.000016
1975,0.000000,0.000019
1976,0.000000,0.000016
1977,0.000000,0.000020
1978,0.000000,0.000017
1979,0.000000,0.000016
1980,0.000000,0.000017
1981,0.000000,0.000015
1982,0.000000,0.000016
1983,0.000000,0.000023
1984,0.000000,0.000013
1985,0.000000,0.000013
1986,0.000000,0.000019
1987,0.000000,0.000017
1988,0.000000,0.000017
1989,0.000000,0.000013
1990,0.000000,0.000017
1991,0.000000,0.000017
1992,0.000000,0.000019
1993,0.000000,0.000018
1994,0.000000,0.000019
1995,0.000000,0.000018
1996,0.000000,0.000020
1997,0.000000,0.000015
1998,0.000000,0.000018
1999,0.000000,0.000015
2000,0.000000,0.000017
2001,0.000000,0.000016
2002,0.000000,0.000015
2003,0.000000,0.000015
2004,0.000000,0.000011
2005,0.000000,0.000012
2006,0.000002,0.000016
2007,0.000000,0.000015
2008,0.000001,0.000008
2009,0.000002,0.000015
2010,0.000003,0.000013
2011,0.000002,0.000012
2012,0.000005,0.000012
2013,0.000006,0.000015
2014,0.000005,0.000012
2015,0.000004,0.000014
2016,0.000006,0.000016
2017,0.000007,0.000017
2018,0.000007,0.000020
2019,0.000008,0.000021
2020,0.000005,0.000018
