year,Bartholomew (F),Bartholomew (M)
1880,0.000000,0.000025
1881,0.000000,0.000042
1882,0.000000,0.000032
1883,0.000000,0.000032
1884,0.000000,0.000037
1885,0.000000,0.000062
1886,0.000000,0.000047
1887,0.000000,0.000028
1888,0.000000,0.000023
1889,0.000000,0.000035
1890,0.000000,0.000043
1891,0.000000,0.000028
1892,0.000000,0.000027
1893,0.000000,0.000015
1894,0.000000,0.000032
1895,0.000000,0.000017
1896,0.000000,0.000022
1897,0.000000,0.000014
1898,0.000000,0.000018
1899,0.000000,0.000018
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000018
1903,0.000000,0.000021
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000023
1907,0.000000,0.000017
1908,0.000000,0.000000
1909,0.000000,0.000016
1910,0.000000,0.000019
1911,0.000000,0.000014
1912,0.000000,0.000014
1913,0.000000,0.000026
1914,0.000000,0.000030
1915,0.000000,0.000017
1916,0.000000,0.000023
1917,0.000000,0.000018
1918,0.000000,0.000018
1919,0.000000,0.000016
1920,0.000000,0.000018
1921,0.000000,0.000020
1922,0.000000,0.000011
1923,0.000000,0.000014
1924,0.000000,0.000017
1925,0.000000,0.000017
1926,0.000000,0.000017
1927,0.000000,0.000013
1928,0.000000,0.000014
1929,0.000000,0.000010
1930,0.000000,0.000013
1931,0.000000,0.000010
1932,0.000000,0.000011
1933,0.000000,0.000010
1934,0.000000,0.000013
1935,0.000000,0.000015
1936,0.000000,0.000013
1937,0.000000,0.000010
1938,0.000000,0.000012
1939,0.000000,0.000010
1940,0.000000,0.000016
1941,0.000000,0.000012
1942,0.000000,0.000014
1943,0.000000,0.000012
1944,0.000000,0.000009
1945,0.000000,0.000013
1946,0.000000,0.000008
1947,0.000000,0.000008
1948,0.000000,0.000010
1949,0.000000,0.000010
1950,0.000000,0.000009
1951,0.000000,0.000010
1952,0.000000,0.000011
1953,0.000000,0.000014
1954,0.000000,0.000009
1955,0.000000,0.000010
1956,0.000000,0.000014
1957,0.000000,0.000011
1958,0.000000,0.000012
1959,0.000000,0.000011
1960,0.000000,0.000008
1961,0.000000,0.000010
1962,0.000000,0.000010
1963,0.000000,0.000012
1964,0.000000,0.000010
1965,0.000000,0.000011
1966,0.000000,0.000012
1967,0.000000,0.000013
1968,0.000000,0.000014
1969,0.000000,0.000022
1970,0.000000,0.000016
1971,0.000000,0.000021
1972,0.000000,0.000016
1973,0.000000,0.000020
1974,0.000000,0.000022
1975,0.000000,0.000021
1976,0.000000,0.000021
1977,0.000000,0.000020
1978,0.000000,0.000015
1979,0.000000,0.000017
1980,0.000000,0.000021
1981,0.000000,0.000016
1982,0.000000,0.000017
1983,0.000000,0.000014
1984,0.000000,0.000015
1985,0.000000,0.000017
1986,0.000000,0.000011
1987,0.000000,0.000017
1988,0.000000,0.000015
1989,0.000000,0.000013
1990,0.000000,0.000012
1991,0.000000,0.000009
1992,0.000000,0.000008
1993,0.000000,0.000007
1994,0.000000,0.000006
1995,0.000000,0.000007
1996,0.000000,0.000007
1997,0.000000,0.000007
1998,0.000000,0.000005
1999,0.000000,0.000004
2000,0.000000,0.000007
2001,0.000000,0.000003
2002,0.000000,0.000005
2003,0.000000,0.000005
2004,0.000000,0.000002
2005,0.000000,0.000005
2006,0.000000,0.000004
2007,0.000000,0.000004
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000003
2011,0.000000,0.000005
2012,0.000000,0.000004
2013,0.000000,0.000003
2014,0.000000,0.000003
2015,0.000000,0.000005
2016,0.000000,0.000005
2017,0.000000,0.000006
2018,0.000000,0.000010
2019,0.000000,0.000010
2020,0.000000,0.000007
