year,Berit
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,10
1960,8
1961,9
1962,8
1963,0
1964,8
1965,8
1966,7
1967,7
1968,9
1969,0
1970,7
1971,6
1972,0
1973,7
1974,6
1975,5
1976,5
1977,6
1978,5
1979,0
1980,0
1981,9
1982,11
1983,8
1984,8
1985,8
1986,8
1987,12
1988,10
1989,5
1990,6
1991,10
1992,9
1993,8
1994,6
1995,13
1996,9
1997,8
1998,17
1999,17
2000,18
2001,18
2002,14
2003,23
2004,18
2005,20
2006,25
2007,21
2008,13
2009,11
2010,15
2011,7
2012,15
