year,Bart (F),Bart (M)
1880,0.000000,0.000035
1881,0.000000,0.000057
1882,0.000000,0.000027
1883,0.000000,0.000051
1884,0.000000,0.000045
1885,0.000000,0.000042
1886,0.000000,0.000027
1887,0.000000,0.000036
1888,0.000000,0.000047
1889,0.000000,0.000038
1890,0.000000,0.000027
1891,0.000000,0.000017
1892,0.000000,0.000036
1893,0.000000,0.000022
1894,0.000000,0.000024
1895,0.000000,0.000028
1896,0.000000,0.000031
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000018
1900,0.000000,0.000020
1901,0.000000,0.000017
1902,0.000000,0.000021
1903,0.000000,0.000018
1904,0.000000,0.000015
1905,0.000000,0.000031
1906,0.000000,0.000019
1907,0.000000,0.000015
1908,0.000000,0.000000
1909,0.000000,0.000014
1910,0.000000,0.000019
1911,0.000000,0.000025
1912,0.000000,0.000018
1913,0.000000,0.000019
1914,0.000000,0.000021
1915,0.000000,0.000009
1916,0.000000,0.000013
1917,0.000000,0.000016
1918,0.000000,0.000014
1919,0.000000,0.000012
1920,0.000000,0.000015
1921,0.000000,0.000018
1922,0.000000,0.000019
1923,0.000000,0.000014
1924,0.000000,0.000020
1925,0.000000,0.000016
1926,0.000000,0.000018
1927,0.000000,0.000016
1928,0.000000,0.000016
1929,0.000000,0.000020
1930,0.000000,0.000018
1931,0.000000,0.000020
1932,0.000000,0.000027
1933,0.000000,0.000021
1934,0.000000,0.000028
1935,0.000000,0.000017
1936,0.000000,0.000019
1937,0.000000,0.000025
1938,0.000000,0.000024
1939,0.000000,0.000032
1940,0.000000,0.000033
1941,0.000000,0.000031
1942,0.000000,0.000034
1943,0.000000,0.000037
1944,0.000000,0.000027
1945,0.000000,0.000029
1946,0.000000,0.000031
1947,0.000000,0.000035
1948,0.000000,0.000035
1949,0.000000,0.000032
1950,0.000000,0.000037
1951,0.000000,0.000028
1952,0.000000,0.000036
1953,0.000000,0.000046
1954,0.000000,0.000049
1955,0.000000,0.000079
1956,0.000000,0.000062
1957,0.000000,0.000064
1958,0.000000,0.000166
1959,0.000000,0.000246
1960,0.000000,0.000215
1961,0.000000,0.000181
1962,0.000000,0.000157
1963,0.000000,0.000166
1964,0.000000,0.000148
1965,0.000000,0.000137
1966,0.000000,0.000130
1967,0.000001,0.000158
1968,0.000000,0.000170
1969,0.000000,0.000159
1970,0.000000,0.000137
1971,0.000000,0.000134
1972,0.000000,0.000109
1973,0.000000,0.000100
1974,0.000000,0.000085
1975,0.000000,0.000091
1976,0.000000,0.000079
1977,0.000000,0.000064
1978,0.000000,0.000058
1979,0.000000,0.000065
1980,0.000000,0.000061
1981,0.000000,0.000050
1982,0.000000,0.000050
1983,0.000000,0.000031
1984,0.000000,0.000040
1985,0.000000,0.000034
1986,0.000000,0.000030
1987,0.000000,0.000026
1988,0.000000,0.000020
1989,0.000000,0.000015
1990,0.000000,0.000015
1991,0.000000,0.000007
1992,0.000000,0.000007
1993,0.000000,0.000008
1994,0.000000,0.000008
1995,0.000000,0.000004
1996,0.000000,0.000007
1997,0.000000,0.000004
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000005
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000000
2009,0.000000,0.000002
2010,0.000000,0.000000
2011,0.000000,0.000001
2012,0.000000,0.000001
