year,Beula
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,8
1887,7
1888,10
1889,5
1890,11
1891,12
1892,6
1893,12
1894,14
1895,15
1896,13
1897,14
1898,11
1899,9
1900,16
1901,15
1902,15
1903,12
1904,13
1905,11
1906,13
1907,20
1908,13
1909,8
1910,20
1911,10
1912,30
1913,27
1914,39
1915,40
1916,41
1917,41
1918,36
1919,45
1920,41
1921,48
1922,46
1923,46
1924,31
1925,46
1926,27
1927,42
1928,28
1929,24
1930,20
1931,19
1932,19
1933,9
1934,7
1935,13
1936,12
1937,5
1938,0
1939,14
1940,10
1941,10
1942,7
1943,7
1944,8
1945,5
1946,0
1947,9
1948,0
1949,0
1950,5
1951,0
1952,0
1953,6
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
