year,Benard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,9
1907,6
1908,0
1909,0
1910,5
1911,0
1912,7
1913,9
1914,11
1915,22
1916,26
1917,26
1918,21
1919,21
1920,23
1921,22
1922,32
1923,29
1924,28
1925,29
1926,19
1927,34
1928,17
1929,19
1930,30
1931,27
1932,22
1933,20
1934,20
1935,21
1936,24
1937,13
1938,24
1939,18
1940,15
1941,22
1942,16
1943,29
1944,15
1945,22
1946,15
1947,23
1948,21
1949,20
1950,30
1951,15
1952,21
1953,37
1954,28
1955,24
1956,38
1957,22
1958,23
1959,23
1960,20
1961,21
1962,23
1963,16
1964,23
1965,26
1966,21
1967,24
1968,13
1969,23
1970,18
1971,25
1972,11
1973,10
1974,10
1975,8
1976,6
1977,9
1978,5
1979,8
1980,6
1981,12
1982,8
1983,0
1984,0
1985,8
1986,7
1987,11
1988,11
1989,13
1990,11
1991,8
1992,10
1993,12
1994,6
1995,10
1996,8
1997,5
1998,11
1999,6
2000,0
2001,5
2002,6
2003,10
2004,7
2005,6
2006,0
2007,0
2008,0
2009,7
2010,0
2011,0
2012,5
