year,Boyd (F),Boyd (M)
1880,0.000000,0.000079
1881,0.000000,0.000125
1882,0.000000,0.000131
1883,0.000000,0.000097
1884,0.000000,0.000099
1885,0.000000,0.000166
1886,0.000000,0.000168
1887,0.000000,0.000105
1888,0.000000,0.000137
1889,0.000000,0.000163
1890,0.000000,0.000116
1891,0.000000,0.000101
1892,0.000000,0.000111
1893,0.000000,0.000108
1894,0.000000,0.000136
1895,0.000000,0.000088
1896,0.000000,0.000095
1897,0.000000,0.000107
1898,0.000000,0.000089
1899,0.000000,0.000156
1900,0.000000,0.000138
1901,0.000000,0.000121
1902,0.000000,0.000109
1903,0.000000,0.000108
1904,0.000000,0.000114
1905,0.000000,0.000094
1906,0.000000,0.000126
1907,0.000000,0.000116
1908,0.000000,0.000125
1909,0.000000,0.000133
1910,0.000000,0.000146
1911,0.000000,0.000132
1912,0.000000,0.000173
1913,0.000000,0.000173
1914,0.000000,0.000203
1915,0.000000,0.000183
1916,0.000003,0.000199
1917,0.000000,0.000193
1918,0.000002,0.000199
1919,0.000005,0.000196
1920,0.000003,0.000202
1921,0.000000,0.000188
1922,0.000000,0.000222
1923,0.000000,0.000186
1924,0.000004,0.000193
1925,0.000003,0.000211
1926,0.000000,0.000189
1927,0.000004,0.000190
1928,0.000000,0.000197
1929,0.000000,0.000209
1930,0.000000,0.000193
1931,0.000000,0.000202
1932,0.000002,0.000187
1933,0.000000,0.000204
1934,0.000000,0.000192
1935,0.000000,0.000168
1936,0.000000,0.000171
1937,0.000000,0.000196
1938,0.000000,0.000187
1939,0.000000,0.000163
1940,0.000000,0.000163
1941,0.000000,0.000169
1942,0.000000,0.000144
1943,0.000000,0.000144
1944,0.000002,0.000128
1945,0.000000,0.000120
1946,0.000000,0.000113
1947,0.000000,0.000118
1948,0.000000,0.000102
1949,0.000000,0.000100
1950,0.000000,0.000098
1951,0.000000,0.000099
1952,0.000000,0.000105
1953,0.000000,0.000101
1954,0.000000,0.000085
1955,0.000000,0.000092
1956,0.000000,0.000091
1957,0.000000,0.000093
1958,0.000000,0.000088
1959,0.000000,0.000090
1960,0.000000,0.000090
1961,0.000000,0.000086
1962,0.000000,0.000101
1963,0.000000,0.000086
1964,0.000000,0.000087
1965,0.000000,0.000079
1966,0.000000,0.000076
1967,0.000000,0.000074
1968,0.000000,0.000080
1969,0.000000,0.000073
1970,0.000000,0.000076
1971,0.000000,0.000054
1972,0.000000,0.000049
1973,0.000000,0.000049
1974,0.000000,0.000050
1975,0.000000,0.000045
1976,0.000000,0.000037
1977,0.000000,0.000036
1978,0.000000,0.000032
1979,0.000000,0.000031
1980,0.000000,0.000028
1981,0.000000,0.000028
1982,0.000000,0.000029
1983,0.000000,0.000020
1984,0.000000,0.000022
1985,0.000000,0.000022
1986,0.000000,0.000019
1987,0.000000,0.000015
1988,0.000000,0.000015
1989,0.000000,0.000013
1990,0.000000,0.000016
1991,0.000000,0.000015
1992,0.000000,0.000015
1993,0.000000,0.000015
1994,0.000000,0.000016
1995,0.000000,0.000014
1996,0.000000,0.000014
1997,0.000000,0.000017
1998,0.000000,0.000012
1999,0.000000,0.000011
2000,0.000000,0.000011
2001,0.000000,0.000011
2002,0.000000,0.000014
2003,0.000000,0.000011
2004,0.000000,0.000012
2005,0.000000,0.000011
2006,0.000000,0.000010
2007,0.000000,0.000016
2008,0.000000,0.000013
2009,0.000000,0.000011
2010,0.000000,0.000013
2011,0.000000,0.000012
2012,0.000000,0.000020
