year,Bulah
1880,5
1881,0
1882,10
1883,10
1884,6
1885,14
1886,11
1887,14
1888,13
1889,17
1890,17
1891,19
1892,22
1893,26
1894,21
1895,21
1896,24
1897,18
1898,19
1899,26
1900,36
1901,33
1902,30
1903,29
1904,35
1905,52
1906,44
1907,39
1908,39
1909,42
1910,55
1911,47
1912,47
1913,51
1914,85
1915,57
1916,74
1917,82
1918,86
1919,115
1920,108
1921,89
1922,85
1923,82
1924,97
1925,95
1926,81
1927,77
1928,65
1929,95
1930,76
1931,46
1932,57
1933,46
1934,43
1935,49
1936,42
1937,42
1938,24
1939,39
1940,29
1941,28
1942,24
1943,29
1944,14
1945,25
1946,19
1947,15
1948,19
1949,15
1950,16
1951,14
1952,0
1953,8
1954,9
1955,8
1956,7
1957,7
1958,0
1959,0
1960,5
1961,0
1962,0
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
